name,url,description
「バスでらくらく♪1泊2日飛騨古川散策と山之村牧場の旅」コース,https://www.hida-kankou.jp/courses/62,"1. 飛騨古川まつり会館
2. 味処古川
3. 瀬戸川と白壁土蔵街
4. 三嶋和ろうそく店
5. 飛騨古川さくら物産館
6. SATOYAMA STAY NINOMACHI
7. 天空の牧場 奥飛騨山之村牧場"
「HC85系で行く!1泊2日冬の飛騨路満喫旅」コース,https://www.hida-kankou.jp/courses/61,"1. 福全寺蕎麦
2. 飛騨古川まつり会館
3. 瀬戸川と白壁土蔵街
4. 蒲酒造場/渡辺酒造店/後藤酒店
5. 三嶋和ろうそく店
6. 二十四
7. 八ツ三館
8. 飛騨高山宮川朝市
9. 白川郷合掌造り集落"
「王道!半日で巡る飛騨古川町並み散策」コース,https://www.hida-kankou.jp/courses/6,"1. 福全寺蕎麦
2. 飛騨古川まつり会館
3. 瀬戸川と白壁土蔵街
4. 円光寺
5. 本光寺
6. 三嶋和ろうそく店
7. 真宗寺"
「1日中楽しもう♪王道コース!飛騨古川町並み散策」コース,https://www.hida-kankou.jp/courses/7,"1. 飛騨古川まつり会館
2. 岡田屋
3. 瀬戸川と白壁土蔵街
4. 酒どころ飛騨を代表する造り酒屋
5. 三嶋和ろうそく店
6. 壱之町珈琲店
7. 本光寺
8. 真宗寺
9. 飛騨古川さくら物産館
10. 味噌煎餅本舗井之廣"
「映画やドラマの世界をめぐる旅」コース,https://www.hida-kankou.jp/courses/8,"1. 飛騨古川駅
2. 西洋膳処まえだ
3. 気多若宮神社
4. 瀬戸川と白壁土蔵街
5. 円光寺
6. 三嶋和ろうそく店
7. 飛騨古川さくら物産館
8. 岡田屋
9. 飛騨古川まつり会館
10. 飛騨市図書館
11. 宮川町落合バス停"
「1泊2日奥飛騨温泉郷とガッタンゴーの旅」コース,https://www.hida-kankou.jp/courses/9,"1. 高山の町並み散策
2. 奥飛騨温泉郷
3. 新穂高ロープウェイ
4. レールマウンテンバイク Gattan Go!! -まちなかコース-
5. ひだ小僧
6. ひだ宇宙科学館カミオカラボ"
「秋の安峰山と飛騨古川満喫の旅」コース,https://www.hida-kankou.jp/courses/10,"1. 安峰山
2. 蕪水亭OHAKO
3. 飛騨古川まつり会館
4. 瀬戸川と白壁土蔵街
5. 味噌煎餅 ~味噌煎餅本舗井之廣~
6. FabCafe Hida"
「呑んべいなあなたへ!飛騨古川の地酒を味わい尽くす旅」コース,https://www.hida-kankou.jp/courses/11,"1. 福全寺蕎麦
2. 渡辺酒造店
3. 後藤酒店
4. 薬草体験施設「ひだ森のめぐみ」
5. 蒲酒造場
6. 瀬戸川と白壁土蔵街
7. ヒダノオクブルワリー
8. 馬場のかどや"
"「ぎふ旅コイン2,000円で飛騨古川を散策♪」コース",https://www.hida-kankou.jp/courses/12,"1. 飛騨古川まつり会館
2. 飛騨の匠文化館
3. 瀬戸川と白壁土蔵街
4. 壱之町珈琲店
5. 三嶋和ろうそく店
6. 蒲酒造場/渡辺酒造店
7. 岡田屋"
「愛車と旅するソロツーリング」コース,https://www.hida-kankou.jp/courses/13,"1. 棚田と板倉の風景 宮川町種蔵
2. 飛騨牛焼肉 ~かをる~
3. 飛騨古川ユースホステル
4. 新穂高の湯
5. 新穂高ロープウェイ
6. せせらぎ街道"
