name,url,description
街なかポケットミュージアム「飛騨とねこのちぎり絵世界」展,https://www.hida-kankou.jp/event/715,"飛騨市神岡町出身のちぎり絵作家　井上あき子氏の地元である飛騨の情景や猫への愛がたくさん込められた作品展を開催します。
親しみやすくも美しく、繊細かつ大胆無数の紙から生まれるちぎり絵世界をご堪能下さい。

- 住所: 509-4236岐阜県飛騨市古川町三之町2-20
- 電話番号: 0577-73-7496
- 問合せ先: 飛騨市教育委員会事務局
- アクセス: 飛騨古川駅から徒歩7分
- 営業時間: 10:00-16:30(4-11月)10:00-16:00(12-3月)
- 休業日: 木曜日・年末年始
- 料金: 無料
- 開催期間: 2023年7月1日(土)~
- 会場名: 飛騨古川さくら物産館蔵ホール
- 問合せ先: 飛騨市教育委員会事務局

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨古川さくら物産館, 蕎麦正なかや, 薬草体験施設「ひだ森のめぐみ」, FabCafe Hida, 大久保製菓舗, 蕪水亭OHAKO, 割烹 朝日館, 渡辺酒造店
- このページを見ている人は、こんなページも見ています: 喫茶きゃびん, 三嶋和ろうそく店, 手織り由布衣工房, 割石温泉, 流葉温泉 ニュートリノ, たんぼの湯, 飛騨古川さくら物産館, 河合町のフクジュソウ群生地(稲越地区), 安峰山, 薬草体験施設「ひだ森のめぐみ」
- このスポットから近い宿泊施設: のとや旅館, 大関屋旅館, 蕪水亭, FabCafe Hida, 吉城の郷 馬出し橋, 八ツ三館, IORI SETOGAWA, SATOYAMA STAY TONOMACHI, 民宿スマイル, IORI ICHINOMACHI"
姉小路氏城館跡と飛騨の中世(飛騨市美術館企画展),https://www.hida-kankou.jp/event/757,"姉小路氏城館跡を中心として、飛騨市が行った調査成果を、主にパネル解説によって紹介します。

姉小路氏城館跡の発掘調査成果を出土遺物の展示を中心に紹介します。さらに飛騨地域の遺跡から出土した遺物を合わせて展示し、飛騨地域の武将の暮らしぶりを概観します。

香川元太郎氏が描いた城郭復元イラストのうち、飛騨・美濃地方の城の原画を一挙に展示します。飛騨市が依頼して描かれた8城の図を中心として、香川氏所有の原画や県内自治体依頼の作品を多数展示します。

姉小路氏・江馬氏・三木氏・金森氏といった飛騨の武将にゆかりの遺品や、飛騨の中世から近世に至る歴史を理解する上で学術上価値が高い重要な資料を紹介します。計20件の岐阜県指定・市指定文化財を特別に出陳します。

失われた城の画による再現や、お城の歴史や構造、果たした役割などについて、飛騨市の城を描いた香川元太郎氏と考証を担当した飛騨市学芸員とのトークから迫ります。
日時：10月22日（日曜日）　10時～11時30分講師：香川元太郎（城郭復元イラストレーター）・飛騨市学芸員場所：飛騨市美術館　多目的室参加費：無料（改めて美術館入館料必要）申込：不要

- 住所: 509-4221岐阜県飛騨市古川町若宮2-1-58
- 電話番号: 0577-73-3288
- ウェブサイト1: https://www.city.hida.gifu.jp/site/museum/56369.html?fbclid=IwAR0V84_eF8G8U-nMkMAyAmY8-1J8GPLKeq4dH5aEl1IjA-Hs2XoKNvViRiA
- アクセス: JR飛騨古川駅の跨線橋を渡り徒歩5分
- 営業時間: 9:00-17:00
- 休業日: 月曜日(月曜日が祝日の場合、翌平日)
- 料金: 大人200円(高校生以下無料)
- 開催期間: 2023年10月21日(土)~12月17日(日)
- 開催時間: 9:00-17:00
- 会場名: 飛騨市美術館

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, キンコン館, KINKON館, Bambi, 志摩茶屋, 居酒屋 源, ダイニング笑円, SAVE THE CAT HIDA シェルター, Little Village Jr.
- このページを見ている人は、こんなページも見ています: じゅうじゅう亭, 天生県立自然公園, 瀬戸川と白壁土蔵街, 飛騨の匠文化館, 円光寺, なかんじょ川 釣り公園, 安峰山, 気多若宮神社, 薬草体験施設「ひだ森のめぐみ」, 増島城跡(岐阜県指定史跡)
- このスポットから近い宿泊施設: たんぼの湯, 料理旅館 初月, IORI GOTO, 大村屋旅館, 民宿スマイル, 飛騨ともえホテル, MOTHER’S HOUSE, 吉城の郷 馬出し橋, SATOYAMA STAY TONOMACHI, IORI SETOGAWA

- ここに行くモデルコース: 飛騨古川の城めぐりと瀬戸川散策"
連続テレビ小説「さくら」パネル展in 街なかポケットミュージアム,https://www.hida-kankou.jp/event/778,"飛騨市がメイン舞台となった連続テレビ小説「さくら」の再放送を記念して「さくら」パネル展を開催します。
ロケ地情報を盛り込んだ名場面ダイジェストパネルを展示します。ぜひお越しください。

- 住所: 509-4236岐阜県飛騨市古川町三之町2-20
- 電話番号: 0577-73-7496
- 問合せ先: 飛騨市教育委員会事務局
- アクセス: 飛騨古川駅から徒歩7分
- 営業時間: 10:00-16:30(4-11月)10:00-16:00(12-3月)
- 休業日: 木曜日・年末年始
- 料金: 無料
- 開催期間: 2023年11月3日(金)~2024年1月31日(水)
- 会場名: 飛騨古川さくら物産館蔵ホール
- 問合せ先: 飛騨市教育委員会事務局

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨古川さくら物産館, 蕎麦正なかや, 薬草体験施設「ひだ森のめぐみ」, FabCafe Hida, 大久保製菓舗, 蕪水亭OHAKO, 割烹 朝日館, 渡辺酒造店
- このページを見ている人は、こんなページも見ています: 数河獅子, 藤波八丁遊歩道, 神岡街歩きガイド, ライトアップ ~福全寺跡の大イチョウと真宗寺のイチョウ~, 種蔵新そばまつり, 冬支度!瀬戸川の鯉の引越し, 蕎麦正なかや@江馬館, ひだ流葉オートキャンプ場, 飛騨ともえホテル, 飛騨古川「飛騨漬け」の旅【濃飛バスツアー】
- このスポットから近い宿泊施設: のとや旅館, 大関屋旅館, 蕪水亭, FabCafe Hida, 吉城の郷 馬出し橋, 八ツ三館, IORI SETOGAWA, SATOYAMA STAY TONOMACHI, 民宿スマイル, IORI ICHINOMACHI"
薬草週間(11月),https://www.hida-kankou.jp/event/779,"11月薬草週間を下記のとおり開催します。皆さんのご参加をお待ちしております！
11月22日（水曜日）～28日（火曜日）　　※24日・27日休館
ゆぅわ～くはうす（河合町角川350-1）

11月の薬草週間の特別企画は2つ！
全国にリピーターを増やし続けるかわい野草茶のスペシャルイベントと、飛騨市を代表する薬草メナモミの種採り体験を行います。

11月26日（日曜日） 9時30分～11時30分
ゆぅわ～くはうす（河合町角川350-1）
・野草茶プリンづくり（おうちでできる簡単蒸しプリンを作ります）・my野草茶作り（好きな薬草を選んでお茶を作ります）・野草茶に入っている薬草の勉強会
かわい野草茶研究グループ
20名（先着順）
1,000円（プリン2個、my野草茶づくりの材料費）



市民農園（古川町上町）で育てているメナモミの種採りのお手伝い。育て方や美味しく食べる方法もお伝えします！
11月26日（日曜日）　14時00分～15時30分
市民農園（古川町上町）
古川町上町の寿楽苑付近。申込後別途お知らせします。
定員なし
無料
※種は引っ付きやすいので、つるつるした服装がおすすめです
野草茶の日、メナモミの種採り体験ともに事前申込が必要です。​申込フォームから、もしくはまちづくり観光課（電話：0577-73-7463）までお電話にてお申し込みください（先着順）
申込締切：11月24日（金曜日）12時

- 住所: 5094301岐阜県飛騨市河合町角川350-1
- 開催期間: 2023年11月22日(水)~28日(火)
- 会場名: ゆぅわ~くはうす
- 問合せ先: 0577-73-7463

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨やまさち工房, 北々工房, ぼっか煮 さわ, 飛騨牛焼肉かをる, 飛騨こうじ 織勢, Hütte noasobi, そば処すごう, kino workshop
- このページを見ている人は、こんなページも見ています: 飛騨の匠文化館, たんぼの湯, 薬草体験施設「ひだ森のめぐみ」, きつね火まつり, ライトアップ ~福全寺跡の大イチョウと真宗寺のイチョウ~, 薬草週間(5月), 街なかポケットミュージアム「飛騨とねこのちぎり絵世界」展, 姉小路氏城館跡と飛騨の中世(飛騨市美術館企画展), 連続テレビ小説「さくら」パネル展in 街なかポケットミュージアム, 薬草週間(11月)
- このスポットから近い宿泊施設: 志田旅館, なかんじょ川 釣り公園, ナチュールみやがわ, 飛騨市森林公園キャンプ場, 飛騨古川ユースホステル, 旬菜の宿 季古里, やまびこ館, アスク山王, 板倉の宿種蔵, 旅館 池田荘"
姉小路氏城館跡と飛騨の中世学芸員ギャラリートーク,https://www.hida-kankou.jp/event/781,"姉小路氏城館跡を中心として、飛騨市が行った調査成果を、主にパネル解説によって紹介します。

姉小路氏城館跡の発掘調査成果を出土遺物の展示を中心に紹介します。さらに飛騨地域の遺跡から出土した遺物を合わせて展示し、飛騨地域の武将の暮らしぶりを概観します。

香川元太郎氏が描いた城郭復元イラストのうち、飛騨・美濃地方の城の原画を一挙に展示します。飛騨市が依頼して描かれた8城の図を中心として、香川氏所有の原画や県内自治体依頼の作品を多数展示します。

姉小路氏・江馬氏・三木氏・金森氏といった飛騨の武将にゆかりの遺品や、飛騨の中世から近世に至る歴史を理解する上で学術上価値が高い重要な資料を紹介します。計20件の岐阜県指定・市指定文化財を特別に出陳します。

- 住所: 509-4221岐阜県飛騨市古川町若宮2-1-58
- 電話番号: 0577-73-3288
- ウェブサイト1: https://www.city.hida.gifu.jp/site/museum/56369.html?fbclid=IwAR0V84_eF8G8U-nMkMAyAmY8-1J8GPLKeq4dH5aEl1IjA-Hs2XoKNvViRiA
- アクセス: JR飛騨古川駅の跨線橋を渡り徒歩5分
- 営業時間: 9:00-17:00(美術館開館時間)
- 休業日: 月曜日(月曜日が祝日の場合、翌平日)
- 料金: 大人200円(高校生以下無料)
- 開催期間: 2023年11月26日(日)、12月3日(日)
- 開催時間: 10:00~ / 13:30~
- 会場名: 飛騨市美術館 展示室
- 料金: 無料(但し、別途入館料が必要です)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, キンコン館, KINKON館, Bambi, 志摩茶屋, 居酒屋 源, ダイニング笑円, SAVE THE CAT HIDA シェルター, Little Village Jr.
- このページを見ている人は、こんなページも見ています: 道の駅 アルプ飛騨古川, しめ縄、作らんかよ, 姉小路氏城館跡と飛騨の中世(飛騨市美術館企画展), 薬草週間(11月), 薬草週間(11月~3月)
- このスポットから近い宿泊施設: たんぼの湯, 料理旅館 初月, IORI GOTO, 大村屋旅館, 民宿スマイル, 飛騨ともえホテル, MOTHER’S HOUSE, 吉城の郷 馬出し橋, SATOYAMA STAY TONOMACHI, IORI SETOGAWA"
薬草週間(11月~3月),https://www.hida-kankou.jp/event/782,"飛騨市では市内の入浴施設で各月1週間程度の「薬草週間」を設け、薬草風呂、野草茶の試飲、薬草商品の販売、ワークショップ、勉強会などの各種イベントを開催します。今年度前半に開催した特別企画は毎回満席で、市内外の交流も生まれています。
各会場の開催イベント詳細は順次公開します。皆さんのご参加をお待ちしております。
チラシは関連資料よりダウンロード下さい。


22日（水曜日）～28日（火曜日）場所はゆぅわ～くはうすで行います。（24日と27日は休館です。）
「野草茶の日」26日（日曜日）9時30分～11時30分の予定です。
15日（金曜日）～21日（水曜日）場所はぬくもりの湯 すぱーふるで行います。（19日と20日は休館です。）
「クロマメ選別選手権＆薬草かるた大会」16日（土曜日）13時30分～15時30分の予定です。
19日（金曜日）～24日（水曜日）場所はゆぅわ～くはうすで行います。（22日は休館です。）
「発酵×和ハーブの日」24日（水曜日）18時00分～20時00分の予定です。
23日（金曜日）～29日（木曜日）場所はぬくもりの湯すぱーふるで行います。
「ヨモギの日」を喫茶いこいの家で2回行います。​25日（日曜日）(1)10時00分～12時00分(2)13時30分～15時30分
20日（水曜日）～25日（月曜日）場所は流葉温泉Mプラザで行います。
「薬草春仕事いろいろ」
(1)20日（水曜日）18時30分～20時00分ひだ森のめぐみで行います。
(2)23日（土曜日）10時00分～11時30分流葉温泉Ｍプラザで行います。

- 開催期間: 2023年11月~2024年3月までのうちの特定の日
- 問合せ先: 0577-73-7463

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: 【特別企画】天生高層湿原と原生林ガイドウォーク, 姉小路氏城館跡と飛騨の中世(飛騨市美術館企画展), 薬草週間(11月), 薬草週間(11月~3月)
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
しめ縄、作らんかよ,https://www.hida-kankou.jp/event/543,"９年目となる「しめ縄作らんかよ」。飛騨市神岡町の森下良一さんに出会えたことがきっかけで、以来、しめ縄をつくる集まりを続けています。
普段は奥山の森や里山などをガイドする自然案内人協会のメンバーと一緒に、歳神様を迎える準備をしてみませんか？
今年刈り取った青い稲わらを使い、この日のために山で見立てたマツやサカキ、ナンテン、飛騨の手すき和紙「山中和紙」でつくられた御幣など、ほとんどが飛騨産の本物の素材で飾り付けし、どっしりとした趣のあるしめ縄を作ります。
ワラは柔らかく扱いやすいようにするための、ワラ屑の選りや木づちによるワラ打ちは事前の下準備で済ませてあります。少し早めの午後にお集まりいただきますが、3時間足らずで世界に一つだけのしめ縄が完成します。
作り方を覚えたい方、暮らしに根付いた手仕事や文化に興味のある方、お子様に体験させたい方など皆様のご参加をお待ちしています。

お申込み・詳細は「北ひだの森を歩こう」をご覧ください。

- 住所: 5094221岐阜県飛騨市古川町若宮2-1-58
- ウェブサイト1: http://hidamoriaruki.com/tour/shimenawa/
- 開催期間: 2023年12月24日(日)
- 開催時間: 12:45 – 15:30
- 会場名: 古川郷土民芸会館(飛騨市古川町若宮2-1-58)
- 料金: 3500円
- 問合せ先: NPO法人飛騨市・白川郷自然案内人協会 0577-65-2211またはsizenannai@zm.commufa.jp

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 後藤酒店, キンコン館, KINKON館, Little Village Jr., 八起寿司, さか江家食堂, 浪花, Bambi
- このページを見ている人は、こんなページも見ています: 古里精肉店, じゅうじゅう亭, さか江家食堂, もりのや, えん, 道の駅宙(スカイ)ドーム神岡, 瀬戸川と白壁土蔵街, 真宗寺, 円光寺, たんぼの湯
- このスポットから近い宿泊施設: 大村屋旅館, 飛騨ともえホテル, IORI GOTO, たんぼの湯, 料理旅館 初月, 民宿スマイル, SATOYAMA STAY TONOMACHI, 吉城の郷 馬出し橋, IORI SETOGAWA, IORI KAWANAKA"
三寺まいり,https://www.hida-kankou.jp/event/407,"飛騨古川に、200年以上も前から続く独特の伝統風習『三寺まいり』は、毎年1月15日の夜､親鸞聖人のご恩を偲び、町内の3つの寺､円光寺･真宗寺･本光寺を詣でるならわしです｡その昔､野麦峠を越えて信州へ糸引きの出稼ぎに行った年頃の娘たちが着飾って瀬戸川の川べりを歩いて巡拝し､男女の出逢いが生まれたことから「嫁を見立ての三寺まいり…」と飛騨古川の小唄にも唄われ､縁結びが叶うおまいりとして全国に知られるようになり、恋の御利益があるということでたくさんの若者が訪れます｡
着物レンタルもあり、着物で着飾ってお参りできます。
～予定～
・門前市（まつり広場）12:00～21:00・千本ろうそく（瀬戸川沿い）16:00～21:00・雪像ろうそくの点灯（町目抜き通り）16:00～
＜着物レンタル＞着付場所：麒麟会館（岐阜県飛騨市古川町壱之町11-7）受付時間：13:00～17:30　返却時間：～20:00料金：4,000円（税込）※着付けのみ   2,000円（税込） 申込先：(一社)飛騨市観光協会　0577-74-1192

※染と呉服　大洞　でも着物レンタルを行っております。

- 住所: 岐阜県飛騨市古川町
- 電話番号: 0577-74-1192
- 問合せ先: 飛騨市観光協会
- アクセス: JR高山本線飛騨古川駅から徒歩5分
- 開催期間: 2024年1月15日(月)
- 開催時間: 12:00-21:00(予定)
- 会場名: 古川町市街地
- 問合せ先: 0577-74-1192(飛騨市観光協会)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, ダイニング笑円, 居酒屋 源, お食事処 匠, SAVE THE CAT HIDA シェルター, 志摩茶屋, Bambi, タスパDEシャングリラ, 新名屋
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 御菓子所 田の下, 老田屋, 大久保製菓舗, 大塚由美子(豆つかげ), はやし, 北々工房, 味噌煎餅本舗井之廣, 三寺めぐり朝市, 飛騨地鶏研究クラブ
- このスポットから近い宿泊施設: たんぼの湯, MOTHER’S HOUSE, 料理旅館 初月, 民宿スマイル, IORI GOTO, SATOYAMA STAY NINOMACHI, 吉城の郷 馬出し橋, FabCafe Hida, SATOYAMA STAY TONOMACHI, 飛騨ともえホテル

- このスポットの関連コラム: 飛騨市のイベント"
冬支度!瀬戸川の鯉の引越し,https://www.hida-kankou.jp/event/425,"飛騨古川に、もうすぐ冬が訪れます。各家庭でも家の雪囲いをしたり、漬物を漬けたり、畑を片づけたりと冬支度が始まります。飛騨古川の人気スポット「瀬戸川と白壁土蔵街」でも冬の準備が行われます。夏場１，０００匹の鯉が悠々と泳ぐ瀬戸川は、冬の間は除雪した雪を流すための「流雪溝（りゅうせつこう）」として使われるため、鯉を瀬戸川から近くの天神池（増島城の堀池です。）へ避難する作業（引越し作業）が行われます。毎年、この時期に行われています。そして、来年４月まで天神池で越冬し、元気に瀬戸川に戻ってきます。夏の間、観光客、市民に愛され、大きく育った鯉の引越しは、中々の重労働です。１匹ずつ玉網ですくい、軽トラに乗せ、天神池に運搬されます。そして、飛騨市観光協会が考案した「安全滑り台」で天神の池に次々とダイビングします。来年の春まで瀬戸川の鯉は、見納めとなります。

- 住所: 509-4224岐阜県飛騨市古川町
- 電話番号: 0577-74-1192
- 開催期間: 2023年11月25日(土)
- 開催時間: 8:00~11:00
- 会場名: 飛騨市古川町市街地 瀬戸川付近

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨牛専門店 祭, ひだコロッケ本舗, 三寺めぐり朝市, 福全寺蕎麦, 岡田屋, タスパDEシャングリラ, 味処古川, 渡辺酒造店
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 御菓子所 田の下, 牧成舎, 味噌煎餅本舗井之廣, 三寺めぐり朝市, パティスリーマツキ, 肉の沖村, 割烹 克己, 福全寺蕎麦, もりのや
- このスポットから近い宿泊施設: 民宿スマイル, FabCafe Hida, 大関屋旅館, のとや旅館, 吉城の郷 馬出し橋, 料理旅館 初月, IORI GOTO, SATOYAMA STAY TONOMACHI, たんぼの湯, MOTHER’S HOUSE

- このスポットの関連コラム: 飛騨市のイベント"
種蔵新そばまつり,https://www.hida-kankou.jp/event/423,"日本の原風景の農村景観がそのままのこる種蔵で、飛騨の自然の恵みをいただく
新そばまつりが開催されます。種蔵の在来種であるそばを守り、栽培・収穫・そば粉つくり・
そば打ちまですべて行うプロも顔負けの蕎麦愛好家グループ「万波そばの会」があり、
年に一度、新そばがふるまわれます。

紅葉美しい飛騨の山々に囲まれながらいただく旬のそばは格別！
この時期に、ここ種蔵でしか味わえないそばを、ぜひご堪能ください。

また、日曜日には、ふるさと種蔵村　里の音コンサートも開催されます。

詳しくは、関連資料のチラシまたはウェブサイトをご覧ください。

- 住所: 岐阜県飛騨市宮川町種蔵37-2
- 電話番号: 0577-63-2311
- 問合せ先: 宮川振興事務所
- ウェブサイト1: https://www.city.hida.gifu.jp/soshiki/46/tanekura-cal.html
- 開催期間: 2023年11月4日(土)、5日(日)
- 開催時間: 1日目11:00-14:00、2日目 9:30-14:00
- 会場名: 種蔵(棚田と板倉の里)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, ぼっか煮 さわ, そば処すごう, 飛騨地鶏研究クラブ, 飛騨やまさち工房, 居酒屋 おらんち, kino workshop, 大坪製菓, ビストロ シェ・ボア
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, ぼっか煮 さわ, 笹巻羊かん本舗 金木戸屋, 福全寺蕎麦, そば処すごう, 蕎麦正なかや, カノコヤ~ Kanokoya Coffee & Waffles~, 味処古川, 蕪水亭OHAKO, 天空の牧場 奥飛騨山之村牧場
- このスポットから近い宿泊施設: 板倉の宿種蔵, ナチュールみやがわ, 志田旅館, 旅館 池田荘, みどり館, 館弥兵衛, すごうビレッジ修徒館, ペンションYOU, ひだ流葉オートキャンプ場, 山荘志げり"
