name,url,description
飛騨古川 ぶらり夜さんぽ,https://www.hida-kankou.jp/plan/760,"大変好評の為、開催日時追加してます！！
夜の古川を提灯片手に案内人とゆる～り散策する特別プラン。
案内人は町を知り尽くし、飛騨古川が大好きな方々。瀬戸川、白壁土蔵街をそぞろ歩き。3つのお寺やまちの歴史も詳しく楽しく語ってくれます。
古川が初めての方も、よく知っている方も、お話を聞きながら歩くと、町の見え方が変わるはず！
おすすめの飲食店もご紹介しますので、まち歩きの後は飛騨の料理や美味しいお酒を楽しんで、町を堪能してくださいね。
秋の夜長に飛騨古川を再発見。ぶらり夜さんぽを案内人と楽しみませんか？

- 住所: 509-4234岐阜県飛騨市古川町壱之町14-5
- 電話番号: 0577-74-1192
- 問合せ先: 飛騨市観光協会
- 料金: 1名 1,000円(ガイド、提灯レンタル代込み)
- 開催日時: 11/3(金)、4(土)、5(日)、11(土)、12(日)、18(土)、19(日)、23(木)、24(金)、25(土)、26(日)
- 体験可能時間: 18時~、19時~、20時~
- 料金: 1人1,000円(ガイド、提灯レンタル代)
- 所要時間: 1時間
- 定員: 2~5名
- 集合場所: 飛騨古川まつり会館
- 最小催行人数: 2名
- 事前予約: 必要
- 電話予約: 0577-74-1192

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: 大塚由美子(豆つかげ), 三寺めぐり朝市, 壱之町珈琲店, 福全寺蕎麦, 天生峠の紅葉, 道の駅 アルプ飛騨古川, 瀬戸川と白壁土蔵街, 小白木峰・白木峰, 渡辺酒造店, たんぼの湯
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
ミネラルたっぷり! 薬草出汁のお料理会,https://www.hida-kankou.jp/plan/765,"現代人に不足しがちなミネラル。そこから体の不調を感じる人も増えているそう…。でも、何を食べたらいいの？サプリでいいの？
薬草にはミネラルを豊富に含んだものがたくさんあります。飛騨の広葉樹の森や清流、豊かな土壌に育まれたミネラルたっぷりの薬草を日々の生活に取り入れてみませんか？

今回は薬草出汁を使ったランチプレートを作ります。カレーをメインに、サラダ、ドレッシング、オオバコカツ、だし巻き玉子、スープ、スイーツ等。

手に入りやすい材料で、食べて美味しい！作るのは簡単！をモットーに、心も体も元気になる薬草料理を体験してください。

持ち物：エプロン、三角巾(バンダナでも可)、タオル、筆記用具

<ランチプレートの内容を載せます。アレルギーの有無をご確認ください。>
バターチキンカレー…鶏肉、バター、塩麴、
サラダ…季節の野菜、薬草（タンポポ、オオバコ、メナモミ）
ドレッシング…薬草
オオバコカツ…オオバコ、豚肉、卵、小麦粉
だし巻き卵…薬草、卵
スープ…ジャガイモ、卵
アイスクリーム…生クリーム、豆乳、砂糖、薬草
材料について、その他　心配のある方は、メールでのお問い合せをお願いします。
メールアドレス　　minabase2023＠gmail.com

- 開催日時: 11/7(火)
- 体験可能時間: 10:30~13:00
- 料金: 3500円
- 定員: 16名
- 集合場所: 古川町公民館(総合会館)
- 電話予約: 0577-36-2299

- 案内人: mineral_キッチン
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: 蕪水亭OHAKO, 居酒屋なごみ亭, テレマークスキー&スノーシュー, 飛騨産直市そやな, ゆぅわ~くはうす, たんぼの湯, 飛騨流葉ドローンパーク, 薬草体験施設「ひだ森のめぐみ」, 天生県立自然公園散策会 籾糠山(もみぬかやま)登山, 日本酒ラベル作り体験
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
人にも地球にも優しい 薬草石けん作り,https://www.hida-kankou.jp/plan/763,"〜人にも地球にも優しい石けんを手作りしましょう〜
毎日洗顔やお風呂で使っている、石けんにふと疑問に思った事ありませんか？
なにで、できてるんだろう？
市販品の多くは化学物質が使われており、体内で分解できずに蓄積されてしまうことも…。

今使っている石けんを、安心安全な自然素材の石けんに変えてみませんか？

今回使う素材は、薬草パウダーと、国産のはちみつ、ミネラルたっぷりのケイ素水、天然素材の石けん粉。
竹炭、ヨモギ、きはだ、トウキ、4種類の薬草のパウダーをご用意。
今回は好きなものを2種類お選びいただけます。

石けんはお持ち帰りいただいて、10日程度乾燥させて完成です。
大きさによって4〜5個お作りいただけます。
お土産にすぐに使える石けんもお一つプレゼントいたします。
薬草チャイもご用意。ゆったりと薬草を楽しみましょう。
～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～
会では、薬草石けん作りの他に、実際に野にでて摘んできた薬草で「野の花クッキー」や「薬草カレー」を作るWSや、ヨガの後にその季節毎の薬草を摘んでお茶として飲んでいただき、デトックス効果を体感していただく等のコラボWSを行っています。
ご興味のある方はお問い合わせください。

- 開催日時: 11/18(土)
- 体験可能時間: 10:30~11:30/13:30~14:30
- 料金: 2200円
- 料金に含まれるもの: 材料費、薬草チャイ付き
- 所要時間: 1時間
- 対象年齢: 小学生以下は親子同伴(一緒に作っていただけます)
- 定員: 各6名
- 集合場所: 飛騨市まちづくり拠点node
- 電話受付時間: 10:00〜18:00 (石原)
- 電話予約: 090-6078-6211

- 薬草を楽しむ会 WAKUWAKU: 薬草を楽しむ会 WAKU WAKU
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: 飛騨牛焼肉かをる, 割石温泉, 飛騨古川まつり会館, 薬草体験施設「ひだ森のめぐみ」, FabCafe Hida, IORI KAWANAKA, 二十四, 神岡街めぐりコース, ジャージー牛の乳しぼり体験, 引馬乗馬体験
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
レトロピア神岡!謎が深まる迷い歩き!,https://www.hida-kankou.jp/plan/673,"神岡特有の河岸段丘のヘリに立つ不思議な建物群、トマソンと出会える街歩き。
地元の人も気づかなかった不思議な物件も紹介します。
こんな奇抜で楽しい街歩きは初めて！と言って下さるファンの方も多数！

歩きながら、ボケ、ツッコミ、クイズ等をおりまぜながら、楽しく歩きます。
あっという間の３時間です。
途中、奇跡的に残った旧遊郭跡に潜入したり、街歩き後半にはちょっとしたデザートも用意してます。

- 開催日時: 11/5(日)(3名以上で随時開催)
- 体験可能時間: 9時~12時
- 料金: 大人2,000円、小学生以下1,500円
- 所要時間: 3時間
- 定員: 12名
- 集合場所: 神岡振興事務所(図書館入り口付近で15分前から受付します。)
- 最小催行人数: 2名
- 事前予約: 3日前まで
- 電話予約: 090-9661-0763

- 案内人: 大田利正
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: 味処古川, 蕪水亭OHAKO, 天空の牧場 奥飛騨山之村牧場, 瀬戸川と白壁土蔵街, 飛騨の匠文化館, 神岡の共同水屋, 飛騨古川桃源郷温泉 ぬく森の湯すぱ~ふる, 神岡街歩きガイド, 飛騨古川さくら物産館, 山田川の桜
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
【満席】廃線を疾走!圧巻の昭和看板! 名勝庭園で殿様気分の昼御膳,https://www.hida-kankou.jp/plan/758,"廃線跡を自転車で疾走する。乗車客数50万人を超えた予約の取れない人気アクティビティ「ガッタンゴー」を体験しませんか？
乗車後は案内人一押しの秘密スポットへご案内。数百枚を超える昭和中期の街頭看板のコレクションを拝見。昭和レトロな飛騨神岡をたっぷり感じていただけます。
そして県下唯一、史跡と名勝を持つ江馬氏館庭園へ。この貴重な施設で昼食を召しあがっていただけます。室町時代のお殿様気分で神岡名物「蒸し寿司」に舌鼓。
飛騨神岡を丸ごと味わっていただく貴重なツアー。ぜひご一緒しませんか？

- 開催日時: 11/3(金)、11/11(土)
- 体験可能時間: 8:30 〜 12:30
- 料金: 4,000円
- 料金に含まれるもの: ガッタンゴー乗車料、江馬氏館入館料、昼食(神岡名物 蒸し寿司)
- 定員: 10名
- 集合場所: レールマウンテンバイク乗り場(飛騨市神岡町東雲1327-2)
- 最小催行人数: 6名
- 事前予約: 要
- 予約締切日: 開催日の10日前
- 電話予約: 090-1989-9044

- 案内人: 吉村修一
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: 登林酒店, 居酒屋 源, 花の家, 八起寿司, 蕪水亭OHAKO, 道の駅 アルプ飛騨古川, 神岡街歩きガイド, 安峰山, 飛騨古川まつり会館, レールマウンテンバイク Gattan Go!! -まちなかコース-
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
廃線ツアー ガッタンゴー 軌道にゴー 汽笛でゴー!,https://www.hida-kankou.jp/plan/653,"鉄分たっぷりの３時間超のガイドツアーです！
まずは、温泉口駅周辺の国鉄時代の痕跡を探ります。幻の信飛鉄道の謎が解明できるか？そして国鉄開通直前まで活躍していた、神岡軌道の遺構にご案内！次はガッタンゴーのトロッコに乗って鉱山前駅まで移動。検修庫に動態保存されている奥飛騨１号と２号、そしてDＤ１３とご対面！運転席に座り、汽笛を鳴らす！何ともレアな体験ができます！帰りもトロッコにて温泉口駅まで余韻を残して解散！
注意事項
トロッコの定員を超えた場合は、自転車パターンになる場合もあります。

なお、各回とも８時４０分から受付開始します。時間に余裕をもっておいでください。

- 開催日時: 10/14(土)
- 体験可能時間: 9時~12時
- 料金: 大人4,500円、子供(小学生以下)3,500円
- 料金に含まれるもの: ガッタンゴー乗車料、ガイド料込み
- 所要時間: 3時間
- 定員: 10名
- 集合場所: レールマウンテンバイク奥飛騨温泉口駅
- 最小催行人数: 2名
- 事前予約: 3日前まで
- 電話予約: 090-9661-0763(ワンダーガイド飛騨代表 大田)

- 案内人: 大田利正
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, ぼっか煮 さわ, 味噌煎餅本舗井之廣, 三寺めぐり朝市, きのえ(飛騨神岡とんちゃん), 後藤酒店, 西洋膳処まえだ, 蕎麦正なかや, 川甚亭, 居酒屋 味蕾
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
老舗旅館探検と 二十四の限定ランチ,https://www.hida-kankou.jp/plan/764,"八ッ三館は江戸時代末期に初代が越中八尾から飛騨の地に参り、宿屋を始めて約160年。
明治37年築の『招月楼』は国登録有形文化財に登録され、飛騨古川の老舗旅館として起こしいただく皆様にお寛ぎいただいております。
今回はそんな館内をご案内した後、新しくオープンしたカフェ「二十四」で限定のランチをお楽しみいただく特別プラン。
八ッ三館の料理人が作った丁寧なお料理は、メインに副菜、汁物など。季節の素材をメニューに盛り込み、ご飯はもちろん飛騨産コシヒカリ。
飛騨古川の歴史と食をゆったり満喫いただけるプログラムです。

☆　追加1000円でドリンクとデザートもセットにできます。

- 開催日時: 12/2(土) 、9(土)、10(日)、16(土)、17(日)
- 体験可能時間: 11:30~13:00
- 料金: 2500円
- 料金に含まれるもの: 館内ツアー、ランチ
- 定員: 8名
- 集合場所: 八ッ三館
- 最小催行人数: 4名
- 事前予約: 必要
- 電話予約: 0577-73-2121

- 案内人: 八ッ三館 池田 理佳子
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: 蕎麦正なかや, 道の駅 アルプ飛騨古川, 割石温泉, 薬草体験施設「ひだ森のめぐみ」, 二十四, 飛騨古川観光ガイド, 花街散策コース, ティーセレモニー(オリジナル薬草茶づくり), 廃線ツアー ガッタンゴー 軌道にゴー 汽笛でゴー!, 挑戦!楮たくりから紙すきまで。山中和紙のすべて
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
籾糠山のてっぺんから愛を叫ぼう,https://www.hida-kankou.jp/plan/774,"参加対象
往復約8km、標高差約450ｍ、7時間の山歩きのできる方

- 住所: 509-4392岐阜県飛騨市河合町天生
- 開催日時: 2023年11月3日(金祝)
- 体験可能時間: 8:00‐16:00
- 料金: 5,000円(別途協力金500円)
- 定員: 6名
- 集合場所: 天生峠駐車場
- 最小催行人数: 3名

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, そば処すごう, 山腰楼, 千成寿司, 飛騨牛焼肉かをる, 天生峠の紅葉, 道の駅宙(スカイ)ドーム神岡, 道の駅 アルプ飛騨古川, 天生県立自然公園, 池ケ原湿原
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
江馬氏が見守る高原郷~本城から下館まで~,https://www.hida-kankou.jp/plan/773,"飛騨市に数多く残る山城の一つ、高原諏訪城跡は、国の史跡に指定されています。紅葉を愛で、帯曲輪や堀切などの遺構に歴史を感じながら登ると、飛騨神岡の街が一望できます。戦国時代の江馬氏の歴史を紐解いてみましょう。お昼は、国指定の史跡・名勝の江馬氏下館で巨石が並ぶ庭園を眺め、室町時代に思いをはせながら、神岡名物の蒸し寿司をいただきます。歴史と味覚で秋の一日を楽しみましょう！

ガイド　（飛騨市・白川郷自然案内人協会）　牛丸洋子、林義成

【スケジュール】
9:00　 集合・受付　道の駅「スカイドーム神岡」第２駐車場
ガイドウォークを楽しみながら　高原諏訪城跡へ

12:00　江馬氏下館にて中世の庭園を眺めながら昼食

13:00 　終了予定

コース距離　約2.5ｋｍ、標高差約150ｍを歩きます
＊緩い登りがありますのでトレッキングシューズ推奨　雨具、飲料はお持ちください。

- 開催日時: 2023年11月4日(日)
- 体験可能時間: 9:00 – 13:00
- 料金: 5,000円
- 料金に含まれるもの: ガイド料、昼食、江馬氏下館入館料
- 所要時間: 4時間
- 定員: 10名
- 集合場所: 9:00  集合・受付:道の駅「スカイドーム神岡」第2駐車場
- 最小催行人数: 4名
- 予約締切日: 2023年10月30日(月)
- 電話予約: 0577-65-2211

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 古里精肉店, 大塚由美子(豆つかげ), なかき商店, ほっとする店, 肉の沖村, 飛騨牛専門店 祭, 西洋膳処まえだ, お食事処 匠, 花の家
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
天生県立自然公園散策会 籾糠山(もみぬかやま)登山,https://www.hida-kankou.jp/plan/459,"紅葉の名所「天生（あもう）峠」を出発し、ブナ原生林に囲まれた天生湿原を抜け、標高1,744mの籾糠山を目指します。コースに高低差があるので、道中で紅葉し始めから晩秋の景色を楽しめます。ガイド同行だからこそ気が付ける秋山の魅力が盛りだくさん！！
※天候不良の場合は、10月29日（日）に延期します。
◆ 参加資格　往復約7. 8ｋｍの山歩きが出来る方（小学３年生以上）  ◆ 参加費　３，０００円【飛騨市民・白川村民は１，５００円】　　※参加費とは別に森林環境整備推進協力金500円のご協力をお願いします。◆ 持ち物・服装                                                      　弁当、飲み物、雨具（歩行の安全のため傘は使用できません）、長袖、長ズボン、帽子、行動食、歩き慣れた靴、防寒着◆ お申し込み方法・期限　電話または専用フォームにて、【氏名・住所・生年月日・電話番号】を下記協議会事務局までお知らせください。　電話受付時間：月～金曜日(祝日を除く) 9時00分～16時00分

- 住所: 509-4392岐阜県飛騨市河合町天生
- 開催日時: 2023年10月22日(日)
- 体験可能時間: 9:00‐16:00
- 料金: 3,000円【飛騨市民・白川村民は1,500円】 
 ※参加費とは別に森林環境整備推進協力金500円のご協力をお願いします。
- 料金に含まれるもの: 保険料
- 対象年齢: 小学3年生以上
- 集合場所: 天生峠駐車場

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, テレマークスキー&スノーシュー, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り
- 周辺にある飲食店・おみやげ店: 蕪水亭OHAKO, キンコン館, タスパDEシャングリラ, Y*mama*cafe, めん処ほりのうえ, 居酒屋なごみ亭, Shinanoya, Bambi, 天空の牧場 奥飛騨山之村牧場, ひだコロッケ本舗
- このページを見ている人は、こんなページも見ています: 天生県立自然公園, 安峰山, 古川祭, きつね火まつり, 天生県立自然公園散策会 籾糠山(もみぬかやま)登山, 中井旅館, 飛騨市食と森の祭典, 廃線ツアー ガッタンゴー 軌道にゴー 汽笛でゴー!, 【特別企画】天生高層湿原と原生林ガイドウォーク, JR高山駅発 タクシーで行くトレッキング「北飛騨の森」天生湿原(現地ガイド付き)
- このスポットから近い宿泊施設: 旅館 井口荘, 旅館 池田荘, 館弥兵衛, 飛騨ともえホテル, 蕪水亭, 中井旅館, MOTHER’S HOUSE, IORI KAWANAKA, 吉城の郷 馬出し橋, 吉城の郷 大日の宿"
