name,url,description
道の駅 アルプ飛騨古川,https://www.hida-kankou.jp/product/275,"富山と飛騨高山を結ぶ国道41号沿いにある道の駅。周辺観光やイベント等のパンフレットも充実しているので、旅の情報収集にも最適の場所です。
敷地内には、農家さん直送の新鮮な野菜から地酒、飛騨牛、飛騨地鶏、工芸品まで豊富に販売している飛騨産直市そやなをはじめ、お土産屋寄合所耕飛騨古川SHOP、創業100年以上の老田屋製麺所がプロデュースしたラーメン屋老田屋製麵所飛騨古川店、飛騨の郷土料理とんちゃんやけいちゃんをお酒と共にがっつり食べることができる寄合所耕飛騨古川食堂もあります。

- 住所: 509-4254岐阜県飛騨市古川町上町1348-2
- 電話番号: 0577-74-0150
- 問合せ先: 道の駅アルプ飛騨古川
- アクセス: 飛騨古川駅から車で7分
- 営業時間: 9時~17時(4月~10月)
9時~16時(11月~3月)
- 休業日: 無休
- 備考: 駐車場あり

- おすすめコラム: 飛騨産直市そやな, 老田屋製麺所 飛騨古川店
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 道の駅 アルプ飛騨古川, 老田屋製麺所 飛騨古川店, 寄合所耕 飛騨古川食堂, 飛騨産直市そやな, めん処ほりのうえ, 大塚由美子(豆つかげ), じゅうじゅう亭, パティスリーマツキ
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 麺の清水屋, 大坪製菓, 牧成舎, 大久保製菓舗
- このスポットから近い宿泊施設: 吉城の郷 大日の宿, 八ツ三館, 蕪水亭, IORI ICHINOMACHI, IORI KAWANAKA, IORI SETOGAWA, SATOYAMA STAY TONOMACHI, 吉城の郷 馬出し橋, のとや旅館, 飛騨ともえホテル

- このスポットの関連コラム: 飛騨市のキャンプ場特集!!"
飛騨産直市そやな,https://www.hida-kankou.jp/product/314,"2022年7月2日道の駅アルプ飛騨古川内に移転オープン！名物店長「トマト店長」のいる、飛騨で採れたおいしい野菜や果物、山菜などを扱う直売所です。農家さんが持ってくるその日の朝採れ野菜などを買うことができるので、新鮮なものがお得に購入することができますよ。高品質の農作物はもちろん、B級品のまとめ買いができることもあります。民芸品やお土産物の販売もあります。季節によって旬の新鮮な食材をGETしにぜひお立ち寄りください。

- 住所: 509-4254岐阜県飛騨市古川町上町1348-1(道の駅アルプ飛騨古川内)
- 電話番号: 0577-57-8998
- アクセス: 飛騨古川駅から車で7分
- 関連サイト/SNS - 1: https://www.instagram.com/hidasoyana/
- 関連サイト/SNS - 2: https://www.facebook.com/jibasan18hida
- 営業時間: 9時~17時
9時~16時 ※冬季(11月~)
- 休業日: 冬季(11月~)水曜定休
年末年始

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨産直市そやな, 道の駅 アルプ飛騨古川, 老田屋製麺所 飛騨古川店, 寄合所耕 飛騨古川食堂, めん処ほりのうえ, 大塚由美子(豆つかげ), じゅうじゅう亭, パティスリーマツキ
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ)
- このスポットから近い宿泊施設: 吉城の郷 大日の宿, 八ツ三館, 蕪水亭, IORI ICHINOMACHI, IORI KAWANAKA, IORI SETOGAWA, SATOYAMA STAY TONOMACHI, 吉城の郷 馬出し橋, のとや旅館, 飛騨ともえホテル

- このスポットの関連コラム: 飛騨のローカルを楽しむ10のチェックリスト, 飛騨市のキャンプ場特集!!, 飛騨市推奨特産品のご紹介!
- ここに行くモデルコース: 1泊2日秋の安峰山登山と新穂高ロープウェイの旅"
飛騨牛焼肉かをる,https://www.hida-kankou.jp/product/183,"牛肉は飛騨牛、お米は有機栽培、野菜は地元のものにこだわり提供しています。おいしいお肉が気軽にリーズナブルに楽しめます。食べたらきっと地元ファンが多いのも納得するはず。

- 住所: 509-4204岐阜県飛騨市古川町野口294
- 電話番号: 0577-75-2450
- アクセス: 飛騨古川駅から車で12分
- 営業時間: 11:00頃~14:00頃 17:00頃 ~食材の加減で営業時間が変更
- 休業日: 不定休
- 料金: ホルモンとハラミの定食 2人前 2,000円

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨牛焼肉かをる, 飛騨こうじ 織勢, 北々工房, 喫茶あん, kino workshop, 居酒屋 源, ダイニング笑円, 味噌煎餅本舗井之廣
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ)
- このスポットから近い宿泊施設: 飛騨市森林公園キャンプ場, 飛騨古川ユースホステル, 旬菜の宿 季古里, 飛騨古川民泊 Vegi garden, SATOYAMA STAY NINOMACHI, MOTHER’S HOUSE, たんぼの湯, FabCafe Hida, 大関屋旅館, のとや旅館

- このスポットの関連コラム: 飛騨牛を堪能しよう!
- ここに行くモデルコース: 愛車と旅するソロツーリング, 飛騨古川と池ヶ原湿原を満喫する旅"
道の駅 飛騨古川いぶし,https://www.hida-kankou.jp/product/274,"2023年11月1日～休業　（トイレはご利用いただけます）

施設の裏手にある「いぶし銀命水」が有名な道の駅。その湧水は水研究家によって、飲んでまろやか、手足すべすべと評価をされた名水で自由に汲むことができます。
ドライブの休憩にオススメです。館内で販売している、大豆を揚げた「豆つかげ」、昔ながらのシンプルな美味しさで人気の「味噌煎餅」など、飛騨を代表する名菓はお土産にもピッタリです。他にも、奥深い冬の山で働く人々や、飛騨の昔からの写真が展示してあったり飛騨の匠の技が誇る木工製品を展示販売しているなど、年間通じて人気があるスポットです。

- 住所: 509-4265岐阜県飛騨市古川町畦畑2173-1
- 電話番号: 0577-73-3936
- 問合せ先: 飛騨市役所建設課
- アクセス: 飛騨古川駅から車で15分
- 営業時間: 休業中
(トイレはご利用いただけます)
- 備考: 駐車場あり(30台)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 道の駅 飛騨古川いぶし, パティスリーマツキ, 御菓子所 田の下, じゅうじゅう亭, 橋本商店, 道の駅 アルプ飛騨古川, 老田屋製麺所 飛騨古川店, 寄合所耕 飛騨古川食堂
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, 御菓子所 田の下, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ), 橋本商店, 神岡朝市クラブ, なかき商店
- このスポットから近い宿泊施設: 蕪水亭, SATOYAMA STAY NINOMACHI, 大関屋旅館, FabCafe Hida, のとや旅館, MOTHER’S HOUSE, 八ツ三館, 吉城の郷 馬出し橋, IORI ICHINOMACHI, IORI SETOGAWA"
たからや,https://www.hida-kankou.jp/product/157,"神岡名物のとんちゃんは胃や腸をはじめとした牛の内臓を、みそベースにした秘伝のタレと絡め、ざく切りしたキャベツ、玉ネギなどと一緒に鉄板で焼いていただくこの店の名物です。野菜全体がしんなりとし、玉ネギの色が変われば食べごろです。店主が、材料にこだわり、内臓の鮮度を大切にし、手間をかけてよく洗います。余分な脂や固い部分を取り除くことで、雑味が抜け、口の中に濃厚な香りと旨味が広がります。ホルモンの旨味を吸った野菜も絶品のお味です。
※4人以上要予約

- 住所: 506-1161岐阜県飛騨市神岡町船津2053-1
- 電話番号: 0578-82-0835
- 営業時間: 18:00~21:30(閉店22:00)
- 休業日: 日曜日・月曜日
- 備考: 予約は4名以上のみ小上がり12席、可動式間仕切り個室2室(6席、6席)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, たからや, 居酒屋真ちゃん, ビストロ シェ・ボア, 花の家, 登林酒店, 老田屋, なかき商店, 千成寿司
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, 御菓子所 田の下, 老田屋, 麺の清水屋, 大坪製菓, 大久保製菓舗, 大塚由美子(豆つかげ), 橋本商店, 船津醤油
- このスポットから近い宿泊施設: すみや旅館, 茂利旅館, わたや旅館, 旅館みなべ, 飛騨向月荘, 大岩荘, 国民宿舎 霜出荘, アルペン 流葉, 旅館 新谷荘, 旅館 ナカバヤシ"
薬草体験施設「ひだ森のめぐみ」,https://www.hida-kankou.jp/product/369,"飛騨古川のまちなかにある飛騨の薬草が体験できる施設「ひだの森のめぐみ」。
ここでは、常時体験できるワークショップや、薬草商品の販売、薬草の展示、薬草茶の試飲のサービスもあります。◎体験できること・ティーセレモニー（オリジナル薬草茶づくり※要予約）・薬草で七味づくり・薬草でコケ玉づくり・葛の花玉づくり・薬草入浴剤づくり・薬草香り袋づくり・機織コースターづくり体験をしなくても、ぜひ覗いてみてください。薬草に詳しいスタッフが常駐しておりますので、薬草に関するいろんなお話も聞くことができます。飛騨古川にいらっしゃったら、ぜひ足をお運びください。

- 住所: 509-4235岐阜県飛騨市古川町弐之町6-7
- 電話番号: 0577-73-3400
- ウェブサイト1: http://www.city-hida.jp/yakusou/
- アクセス: 飛騨古川駅から徒歩5分
- 営業時間: 10:00~16:00
- 休業日: 年末年始
- 備考: 飛騨市役所駐車場をご利用ください。

- ひだ森のめぐみでできる体験: 
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 薬草体験施設「ひだ森のめぐみ」, 蕎麦正なかや, 蕪水亭OHAKO, 大久保製菓舗, 渡辺酒造店, 割烹 朝日館, FabCafe Hida, 蒲酒造場
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, ぼっか煮 さわ, 御菓子所 田の下, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ), なかき商店, 笹巻羊かん本舗 金木戸屋, 北々工房, ほっとする店
- このスポットから近い宿泊施設: のとや旅館, 大関屋旅館, FabCafe Hida, 吉城の郷 馬出し橋, SATOYAMA STAY TONOMACHI, 民宿スマイル, IORI SETOGAWA, 蕪水亭, 料理旅館 初月, IORI ICHINOMACHI

- このスポットの関連コラム: 雨の日におすすめの体験&カフェのご紹介, 飛騨のローカルを楽しむ10のチェックリスト
- ここに行くモデルコース: 呑んべいなあなたへ!飛騨古川の地酒を味わい尽くす旅, 飛騨市の薬草をめぐる癒し旅, 四十八滝山野草公園と飛騨古川散策, 東京から高速バスで!2泊3日奥飛騨温泉郷と飛騨古川の旅, 仲良し女子のおしゃれスポット巡り IN 飛騨古川, 関西からワイドビューで!1泊2日飛騨を満喫, 山と海の幸を両方味わう!北陸新幹線で行く飛騨古川の旅"
道の駅宙(スカイ)ドーム神岡,https://www.hida-kankou.jp/product/273,"飛騨神岡へお越しの際の旅の休憩やお食事に『道の駅 宙（スカイ）ドーム・神岡』へどうぞ。 2018年春にリニューアルオープンした売店コーナーでは新たに東京大学宇宙線研究所関連の新商品もご用意して皆様のご来店をお待ちしております。
さらに、宙（スカイ）ドーム神岡内に宇宙物理学研究を紹介する「ひだ宇宙科学館カミオカラボ」が2019年3月27日オープンしました！
ドライブの休憩やお食事と併せてぜひお立ち寄りください！

また、飛騨のお土産品を取り揃えた特産品コーナーも充実！ご家族や職場へのお土産探しにもピッタリです。
軽食コーナー・レストランコーナーでは、飛騨神岡の名物『てんぷらまんじゅう』や『飛騨中華そば』をはじめとする麺類各種、人気の『飛騨味噌かつ定食』などをぜひご賞味ください。
さらに、飲食・スナックコーナーではカミオカラボや宇宙物理学にちなんだ特製メニューも販売されており大好評です。
春から秋にかけては地元の朝採り新鮮野菜や民芸品がいっぱいの朝市も営業します（朝市は冬期間休業）。
※江馬氏館の御城印販売中です。

- 住所: 506-1124岐阜県飛騨市神岡町夕陽ヶ丘6
- 電話番号: 0578-82-6777
- 問合せ先: 道の駅宙ドーム・神岡
- ウェブサイト1: http://www.skydome.jp/
- アクセス: 〔高山市街より〕国道41・471号経由で約60分
〔富山市街より〕国道41・471号経由で約60分
〔飛騨市内より〕JR飛騨古川駅より車で約30分
- 営業時間: ○レストランコーナー〔平日〕11:00~14:00、15:00~19:00
          〔土日祝祭日〕11:00~15:00、17:00~19:00
○軽食コーナー    9:00~17:00
○特産品コーナー〔通常〕9:00~17:00〔GW期間と7/21~8/31〕9:00~19:00
※コーナー、季節によって時間変動あり
- 休業日: 水曜日(詳細は宙ドームHPをご確認ください)
- 駐車場(大型バス): 7台
- 駐車場(普通車): 111台
- 備考: ・電気自動車充電スポットあり(有料:1台分)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 道の駅宙(スカイ)ドーム神岡, ひだ小僧, 神岡朝市クラブ, 彩龍華, 喫茶きゃびん, 麺の清水屋, きのえ(飛騨神岡とんちゃん), かちや
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 麺の清水屋, 大坪製菓, 牧成舎, 大塚由美子(豆つかげ), はやし
- このスポットから近い宿泊施設: 飛騨向月荘, 旅館みなべ, 茂利旅館, わたや旅館, すみや旅館, 大岩荘, 国民宿舎 霜出荘, アルペン 流葉, 旅館 新谷荘, 夕焼け色の宿 宗五郎

- このスポットの関連コラム: 飛騨市のキャンプ場特集!!, 飛騨市推奨特産品のご紹介!
- ここに行くモデルコース: 宇宙科学館カミオカラボと飛騨神岡の街歩きの旅"
大塚由美子(豆つかげ),https://www.hida-kankou.jp/product/37,"大豆を醤油、砂糖、小麦粉で衣をつけ、じっくりと揚げた一品。飛騨の方言で『つかげ』とは、揚げた物という意味です。
見た目によらず　素朴な大豆の旨みと程よい甘みがおいしく、ついつい食べてしまいます。地元や観光客にも大人気です。お茶うけ、ビールにも合いますが、特に日本酒だと、豆つかげの甘みが相乗効果でお酒が辛くあたりとても合いお酒がすすみます。飛騨市内のスーパーや、お土産屋さんでも手に入れることができます。

- 住所: 509-4254岐阜県飛騨市古川町上町460
- 電話番号: 0577-74-1054

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 大塚由美子(豆つかげ), めん処ほりのうえ, 飛騨産直市そやな, 道の駅 アルプ飛騨古川, 老田屋製麺所 飛騨古川店, 寄合所耕 飛騨古川食堂, じゅうじゅう亭, パティスリーマツキ
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 老田屋, 麺の清水屋, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ)
- このスポットから近い宿泊施設: 吉城の郷 大日の宿, 八ツ三館, IORI ICHINOMACHI, IORI KAWANAKA, IORI SETOGAWA, 蕪水亭, SATOYAMA STAY TONOMACHI, 飛騨ともえホテル, 吉城の郷 馬出し橋, 大村屋旅館"
蕪水亭OHAKO,https://www.hida-kankou.jp/product/256,"飛騨で採れた薬草をふんだんに使い、〝美味しく食べられる薬草料理〟をテーマに、少しずつ色々食べられるランチプレートと、香りよい飛騨産のそば粉を使用した本格手打ちそばが楽しめるカフェ・スタイルのお店。ピーベリー豆を使った自慢のコーヒーとともにゆっくり楽しめます。 お店の横にある小窓からテイクアウトもできます。人気の生クリームソフトも季節限定で販売しています。

- 住所: 509-4234岐阜県飛騨市古川町壱之町3-22
- 電話番号: 0577-73-0048
- ウェブサイト1: http://www.busuitei.co.jp/
- 関連サイト/SNS - 1: https://www.instagram.com/ohako_hidafurukawa/
- 営業時間: 11:00-16:00
カフェタイム 11:00-16:00 (LO15:30)
ランチ    11:00-14:00
- 休業日: 不定休

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 蕪水亭OHAKO, 割烹 朝日館, 蒲酒造場, 渡辺酒造店, 薬草体験施設「ひだ森のめぐみ」, 馬場のかどや, 三嶋和ろうそく店, 古里精肉店
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ), 船津醤油
- このスポットから近い宿泊施設: 吉城の郷 馬出し橋, SATOYAMA STAY TONOMACHI, 民宿スマイル, IORI SETOGAWA, のとや旅館, 大関屋旅館, FabCafe Hida, 料理旅館 初月, IORI GOTO, IORI KAWANAKA

- このスポットの関連コラム: 雨の日におすすめの体験&カフェのご紹介
- ここに行くモデルコース: 秋の安峰山と飛騨古川満喫の旅, 飛騨市の薬草をめぐる癒し旅, 冬の定番!飛騨古川1日満喫日帰りコース"
Bambi,https://www.hida-kankou.jp/product/780,"2023年10月にオープンしたお店。

木のぬくもりを感じられるおしゃれな店内で、
昼はパスタと日替わりランチ、夜はパスタと一品料理を楽しむことができます。

日替わりランチは限定２０食なので、予約をおすすめします。

- 住所: 5094225岐阜県飛騨市古川町金森町13-27
- 電話番号: 0577-57-7895
- 関連サイト/SNS - 1: https://www.instagram.com/bambi_furukawa/
- 営業時間: 11:30-14:00(LO 13:30)
17:30-22:00(LO 21:00)
- 休業日: 日曜日
※月曜日はランチのみ営業
- 駐車場(普通車): 2台
※飛騨市役所無料駐車場をご利用下さい。

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, Bambi, 志摩茶屋, SAVE THE CAT HIDA シェルター, Little Village Jr., 八起寿司, 日本海の幸 香梅, つるや食堂, ダイニング笑円
- このページを見ている人は、こんなページも見ています: 大久保製菓舗, 笹巻羊かん本舗 金木戸屋, アメリカンベーカリー, 飛騨牛焼肉かをる, KINKON館, 茶屋-maru-, ひだ小僧, 味処古川, キンコン館, タスパDEシャングリラ
- このスポットから近い宿泊施設: たんぼの湯, 料理旅館 初月, IORI GOTO, 民宿スマイル, 大村屋旅館, 飛騨ともえホテル, 吉城の郷 馬出し橋, SATOYAMA STAY TONOMACHI, IORI SETOGAWA, MOTHER’S HOUSE"
