name,url,description
たんぼの湯,https://www.hida-kankou.jp/reserve/322,"飛騨古川の町並みを散策した後に訪れたい日帰り温泉。
明治期の開湯以来、地元の人々や観光客の疲れを癒し、近年では「子宝の湯」としても評判を呼んでいるという「たんぼの湯」。その最大の魅力は、飛騨古川駅から徒歩3分、飛騨市役所のすぐ隣という絶好のロケーションです。神経痛、リュウマチ、胃腸病、婦人病、冷え性などに効能があるという炭酸鉄泉の湯は赤い色が特徴で、白いタオルが赤茶色に染まるほど。宿泊して、宿自慢の郷土料理を味わってみるのもオススメです。
飛騨市の温泉の一覧はこちら

- 住所: 509-4232岐阜県飛騨市古川町本町2-57
- 電話番号: 0577-73-2014
- 問合せ先: 直通
- アクセス: 飛騨古川駅から徒歩3分
- 営業時間: 16時~19時
- 休業日: 月・日
- 料金: 500円
- 備考: 駐車場あり(8台)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, SAVE THE CAT HIDA シェルター, ダイニング笑円, 志摩茶屋, お食事処 匠, Bambi, 日本海の幸 香梅, 新名屋, みちくさ
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ)
- このスポットから近い宿泊施設: たんぼの湯, 料理旅館 初月, 民宿スマイル, IORI GOTO, MOTHER’S HOUSE, 吉城の郷 馬出し橋, SATOYAMA STAY TONOMACHI, 飛騨ともえホテル, 大村屋旅館, FabCafe Hida"
飛騨市森林公園キャンプ場,https://www.hida-kankou.jp/reserve/505,"飛騨古川から車で10分。飛騨の自然を堪能できるスポーツ施設の中にあります。設備はシンプルですがリーズナブルな利用料金で人気のキャンプ場です。夏は木々の緑が鮮やかで、秋には紅葉の中で虫の音を楽しめます。ご予約頂ければナイターが使用できるグラウンド等もご利用頂けます。芝生広場でのピックニックなども好評です。森林公園からウォーキングコースも整備されています。キャンプの食材の仕入れには、2022年7月にオープンした道の駅アルプ飛騨古川内にある飛騨産直市そやながおすすめです。

- 住所: 509-4272岐阜県飛騨市古川町信包733-1
- 電話番号: 0577-75-2901
- ウェブサイト1: https://www.nap-camp.com/gifu/10458
- アクセス: 飛騨古川駅より車で10分
- 営業時間: 4月1日~11月20日
- 料金: 林間サイト基本料金:3,520円/泊(4人まで)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨こうじ 織勢, 飛騨牛焼肉かをる, 北々工房, 喫茶あん, 居酒屋 源, 味噌煎餅本舗井之廣, ダイニング笑円, 岡田屋
- このページを見ている人は、こんなページも見ています: 御菓子所 田の下, 古里精肉店, 橋本商店, 登林酒店, ほっとする店, 味噌煎餅本舗井之廣, 三寺めぐり朝市, 肉の沖村, 居酒屋 源, 西洋膳処まえだ
- このスポットから近い宿泊施設: 飛騨市森林公園キャンプ場, 飛騨古川ユースホステル, 旬菜の宿 季古里, SATOYAMA STAY NINOMACHI, MOTHER’S HOUSE, 飛騨古川民泊 Vegi garden, FabCafe Hida, たんぼの湯, 大関屋旅館, のとや旅館

- このスポットの関連コラム: 飛騨市のキャンプ場特集!!"
旅館みなべ,https://www.hida-kankou.jp/reserve/481,"神岡の中心を流れる清流”高原川“の川辺に立地しており、川のせせらぎが程よく感じられます。 家庭的な雰囲気で、まるで御自宅にいらっしゃる気分でおくつろぎいただけたらうれしいです。また、川を眺めながらお食事をしていただける様、２００７年夏に改装いたしましたので、より快適にお過ごしいただけると思います。

- 住所: 506-1161岐阜県飛騨市神岡町船津979番地
- 電話番号: 0578-82-0013
- アクセス: ●東海北陸自動車道飛騨清見ICから車で60分 ●北陸自動車道富山ICから車で50分 ●JR高山本線飛騨古川駅からバスで40分(濃飛バス神岡行き バス停神岡町西里下車) => バス停神岡町西里から徒歩で3分
- 料金: 1泊朝食 \6,250円~(税別)素泊まり \5,250円~(税別)
- 備考: Wi-Fi可

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 茶屋-maru-, 肉の沖村, 笹巻羊かん本舗 金木戸屋, もりのや, 八兵衛, 飛よし, 峡や, アメリカンベーカリー
- このページを見ている人は、こんなページも見ています: 老田屋, 大坪製菓, はやし, 登林酒店, 神岡朝市クラブ, 笹巻羊かん本舗 金木戸屋, 味噌煎餅本舗井之廣, 三寺めぐり朝市, きのえ(飛騨神岡とんちゃん), 肉の沖村
- このスポットから近い宿泊施設: 旅館みなべ, 茂利旅館, わたや旅館, すみや旅館, 飛騨向月荘, 大岩荘, 国民宿舎 霜出荘, アルペン 流葉, 旅館 新谷荘, 旅館 ナカバヤシ"
FabCafe Hida,https://www.hida-kankou.jp/reserve/372,"モノづくりができる喫茶店兼ゲストハウス。ランチには、飛騨産のトマトをたっぷり使ったハヤシライスや、ベーグルサンドを頂くことができます。月一回、特別ランチを提供していたり、イベントも実施しています。
食事と一緒に、ひだカヌレやクロモジ茶などもオススメです。（テイクアウト可）また、広葉樹でつくる箸、スタンプなど木のものづくり体験もできます。

- 住所: 509-4235岐阜県飛騨市古川町弐之町6-17
- 電話番号: 0577-57-7686
- ウェブサイト1: https://fabcafe.com/hida/
- アクセス: 飛騨古川駅から徒歩8分
- 関連サイト/SNS - 1: https://www.instagram.com/fabcafehida/
- 営業時間: 10:00~16:00
- 休業日: 水曜日
- 備考: 駐車場はありません。飛騨市役所前駐車場などをご利用ください。

- FabCafe Hidaでできる体験: 広葉樹お箸づくり, 広葉樹フォトブロック作り, 広葉樹スタンプ作り, スプーンKit&牧成舎アイス, 「真四角」フォントのFAB升
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, FabCafe Hida, 大久保製菓舗, 味処古川, 味噌煎餅本舗井之廣, ひだコロッケ本舗, 三寺めぐり朝市, 福全寺蕎麦, 薬草体験施設「ひだ森のめぐみ」
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, 御菓子所 田の下, 老田屋, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ), 船津醤油, 登林酒店
- このスポットから近い宿泊施設: FabCafe Hida, 大関屋旅館, のとや旅館, 吉城の郷 馬出し橋, 民宿スマイル, MOTHER’S HOUSE, SATOYAMA STAY NINOMACHI, SATOYAMA STAY TONOMACHI, 蕪水亭, 料理旅館 初月

- このスポットの関連コラム: 雨の日におすすめの体験&カフェのご紹介, 「ふゆひだバスたびきっぷ」で飛騨を満喫しよう!
- ここに行くモデルコース: 秋の安峰山と飛騨古川満喫の旅, 宇津江四十八滝と飛騨古川散策, 飛騨市の薬草をめぐる癒し旅, 着物でまちあるき 飛騨古川秋の女子旅, 冬の定番!飛騨古川1日満喫日帰りコース, 飛騨古川のド定番!!仲良し女子旅"
なかんじょ川 釣り公園,https://www.hida-kankou.jp/reserve/312,"魚釣りや魚の手づかみなど安心して川遊びがができる人工河川「なかんじょ川」をはじめ、ログハウスのコテージとオートキャンプ場を備えた自然公園で、地元の子どもたちにも大人気のレジャースポット。イワナ・ニジマスなどをワイルドに手づかみで捕ったり、釣り糸を垂らして釣ったりと、小さなお子さんからお年寄りまで、思い思いに川遊びを楽しむことができます。捕った魚をその場で炭火焼きにして頬張れば、心に残る夏の日の大切な思い出になるでしょう。もちろん、魚は持ち帰ることも可能です。ファミリーで、グループで、思う存分自然に親しみ遊びましょう！※事前の予約をお願いします。また、インターネットからのご予約をオススメします。2023年4月29日（土）　　キャンプ場オープン予定　　　ゴールデンウイーク頃　釣り公園オープン予定魚釣りや手づかみのご予約は、「じゃらん予約サイト（魚つかみ体験」
キャンプ場のご予約は、「なかんじょ川宿泊予約」

- 住所: 509-4316岐阜県飛騨市河合町元田1092-2
- 電話番号: 0577-65-2818
- ウェブサイト1: http://www.nakanjokawa.com/
- アクセス: 飛騨古川駅から車で30分駐車場あり
- 営業時間: 釣り公園    5月~9月 9時~16時30分ログハウス   5月~11月キャンプサイト 5月~10月
- 休業日: 火・水定休(祝日・GW・夏休み期間は営業)
- 料金: 入場料(1名)400円(小学生300円)/釣竿セット200円/ニジマス放流(1kg)2,500円/イワナ放流(1kg)3,600円/炭焼代(1匹)150円/腹取り(1匹)50円 ※全て税込価格

- なかんじょ川でできる体験: 魚つかみ体験
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 北々工房, 飛騨やまさち工房, Hütte noasobi, 飛騨牛焼肉かをる, 飛騨こうじ 織勢, ぼっか煮 さわ, 道の駅 飛騨古川いぶし, 喫茶あん
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, 神岡朝市クラブ, なかき商店, 笹巻羊かん本舗 金木戸屋, 北々工房, ほっとする店, 味噌煎餅本舗井之廣, 三寺めぐり朝市, 肉の沖村
- このスポットから近い宿泊施設: なかんじょ川 釣り公園, アスク山王, やまびこ館, 旬菜の宿 季古里, 飛騨市森林公園キャンプ場, 飛騨古川ユースホステル, 志田旅館, ナチュールみやがわ, SATOYAMA STAY NINOMACHI, MOTHER’S HOUSE

- このスポットの関連コラム: 飛騨市のキャンプ場特集!!"
飛騨まんが王国,https://www.hida-kankou.jp/reserve/502,"国内外の漫画4万2千冊が揃うまんが図書館は、床にねそべったりソファにくつろいだりして自由に読める宿泊施設。隣接の「おんり～湯」は展望風呂、流水歩行浴などがあり、疲れた体を癒してくれます。四季を通して雄大な自然を満喫いただけます。

- 住所: 509-4542岐阜県飛騨市宮川町杉原116
- 電話番号: 0577-62-3259
- ウェブサイト1: http://www.miyagawa.org/
- アクセス: JR高山本線杉原駅より徒歩7分
- 休業日: 木曜日
※2023年1月11日~2023年4月12日は、水曜日も休業
- 料金: 素泊まり \6,300~(税別)1泊2食 \9,000~(税別)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, ぼっか煮 さわ, 居酒屋 おらんち, 飛騨地鶏研究クラブ, ビストロ シェ・ボア, 花の家, たからや, 居酒屋真ちゃん, 老田屋
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 御菓子所 田の下, 古里精肉店, 大塚由美子(豆つかげ), ほっとする店, 味噌煎餅本舗井之廣, 三寺めぐり朝市, 飛騨地鶏研究クラブ, きのえ(飛騨神岡とんちゃん), 飛騨牛専門店 祭
- このスポットから近い宿泊施設: 飛騨まんが王国, 民宿ほら, 板倉の宿種蔵, ナチュールみやがわ, 志田旅館, 玉姫高原ロッジ, 山荘志げり, ロッジ トニマックス, ひだ流葉オートキャンプ場, ロッヂ 西山荘"
山之村キャンプ場,https://www.hida-kankou.jp/reserve/483,"山之村キャンプ場及び夕顔の駅は、2023年4月から当面の間休業します。なお、高原の駅（公衆トイレ）は、例年どおり４月末頃に開放予定です。

標高1，000ｍの山間の里・山之村にあるキャンプ場。澄んだ空気の中、川のせせらぎや鳥の声に耳をかたむけ、夜には満天の星空を独り占め。
雄大な北アルプス山麓の大自然に抱かれた静かな空間です。宿泊はオートキャンプサイト、コテージ、バンガローと3つのタイプがあり、毛布やストーブなどのレンタル用品も完備（受付は隣接の「ドライブイン　夕顔の駅」にあります）。
場内には手軽なハイキングコースとして人気のある天蓋山（てんがいさん）の登山口があり登山利用のほか、近隣の山之村牧場を起点に開催される標高1，500ｍ付近の原生林や湿原地帯を専用ガイドの案内で歩く「深洞湿原トレッキングツアー」などのトレッキングの拠点としての利用も便利です。
キャンプ場周辺は標高が高いため、真夏でも朝晩は冷え込みますのでお出での際は長袖のご用意をお忘れなく！

☆車で約5分の山之村牧場や、車で約30分のレールマウンテンバイクGattan Go!!、飛越トンネルを越え有峰林道を経由した有峰湖周辺へのお出かけもオススメ。

- 住所: 506-1104岐阜県飛騨市神岡町森茂1940
- 電話番号: 0578-82-6661
- ウェブサイト1: http://yamanomura-camp.com/
- アクセス: ○飛騨市内よりJR飛騨古川駅から車で約70分(約46km)飛騨市古川町より国道41号線・岐阜県道75号線(神原峠)で神岡町市街地まで。その先国道471号線・大規模林道(山吹峠)経由で神岡町森茂地区まで移動の場合
○高山方面より高山清見道路高山ICより車で約80分(約57km)国道41号線経由で飛騨市古川町へ。そこから岐阜県道75号線(神原峠)で神岡町市街地まで。その先国道471号線・大規模林道(山吹峠)経由で神岡町森茂地区まで移動の場合
○富山方面より北陸自動車道富山ICより車で約90分(約66km)
- 休業日: 毎週月・火曜日(夏休み期間中は無休)
- 料金: 【入場料】大人330円 小人165円【設備等】テント(小)2,200円テント(大)3,300円など。バンガロー・コテージもあります。詳しくは山之村キャンプ場公式ホームページをご覧ください。
- 備考: ○山之村キャンプ場公式ホームページのご予約フォームからもお申し込みいただけますので、ご利用ください。

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 天空の牧場 奥飛騨山之村牧場, ひだ小僧, 道の駅宙(スカイ)ドーム神岡, 神岡朝市クラブ, 彩龍華, 麺の清水屋, 喫茶きゃびん, きのえ(飛騨神岡とんちゃん)
- このページを見ている人は、こんなページも見ています: 味噌煎餅本舗井之廣, 三寺めぐり朝市, きのえ(飛騨神岡とんちゃん), 肉の沖村, 割烹 克己, 福全寺蕎麦, つるや食堂, アメリカンベーカリー, たからや, 岡田屋
- このスポットから近い宿泊施設: 山之村キャンプ場, 中井旅館, 飛騨向月荘, すみや旅館, 旅館みなべ, 茂利旅館, わたや旅館, 大岩荘, 国民宿舎 霜出荘, アルペン 流葉"
玉姫高原ロッジ,https://www.hida-kankou.jp/reserve/508,"明るくて暖かくアットホームな感じ。暖かい美味しいボリュームある料理が自慢です。ゲレンデの中にありますので、雪上車にてお迎えに参ります。　心ゆくまでスキーを楽しめる第二ゲレンデ前というベストポジションに位置する当館は、とても、モダンなロッジです。　お仲間とご家族といっしょにお越し下さい。ボリュームいっぱいの料理もお楽しみください。

- 住所: 506-1155岐阜県飛騨市神岡町西858
- 電話番号: 06-6354-2280
- アクセス: 神岡町市街地より8km
古川町より13km
- 料金: 素泊まり 5,000円~(税別)
1泊2食 7,000~円(税別)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨地鶏研究クラブ, そば処すごう, 大坪製菓, 船津醤油, 老田屋, 古田豆腐店, 花の家, ビストロ シェ・ボア
- このページを見ている人は、こんなページも見ています: ぼっか煮 さわ, はやし, 船津醤油, さか江家食堂, かちや, たからや, 居酒屋Dai, もりのや, 馬場のかどや, 居酒屋なごみ亭
- このスポットから近い宿泊施設: 玉姫高原ロッジ, ロッジ トニマックス, ロッヂ 西山荘, 流葉山荘, 山荘志げり, 温もりの館 千台屋, 旅館 井口荘, 旅館 ナカバヤシ, ひだ流葉オートキャンプ場, 夕焼け色の宿 宗五郎"
茂利旅館,https://www.hida-kankou.jp/reserve/479,"創業より100年以上にわたり、飛騨神岡へお仕事にいらっしゃるお客様にお宿を提供してまいりました。ノーベル賞を受賞された小柴昌俊先生にも、カミオカンデを立ち上げの際には定宿にしていただきました。小柴先生がお泊まりになった和室は、現在もお客様にご利用いただけます。
どこよりもリーズナブルな当館を是非一度ご利用くださいませ。

- 住所: 506-1161岐阜県飛騨市神岡町船津1133
- 電話番号: 0578-82-0026
- アクセス: 船津座より徒歩1分
濃飛バス西里バス停より徒歩1分
- 料金: 素泊まり \5,000円~(税別)
- 備考: インターネットをご利用いただけます。

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, なかき商店, 登林酒店, 峡や, 茶屋-maru-, 笹巻羊かん本舗 金木戸屋, アメリカンベーカリー, 千成寿司, もりのや
- このページを見ている人は、こんなページも見ています: 古里精肉店, 老田屋, 登林酒店, 神岡朝市クラブ, 笹巻羊かん本舗 金木戸屋, 味噌煎餅本舗井之廣, 三寺めぐり朝市, 肉の沖村, つるや食堂, たからや
- このスポットから近い宿泊施設: 茂利旅館, わたや旅館, すみや旅館, 旅館みなべ, 飛騨向月荘, 大岩荘, 国民宿舎 霜出荘, アルペン 流葉, 旅館 新谷荘, 旅館 ナカバヤシ"
ひだ流葉オートキャンプ場,https://www.hida-kankou.jp/reserve/504,"2023年シーズンのキャンプサイトは、約３㎞程度離れた場所において熊の目撃情報が確認されたため、11月8日(水)以降のキャンプサイトの受け入れは中止になりました。
※なお、コテージは通年営業しています。

雄大な北アルプス連峰を眼前に望む、白樺林に囲まれた本格オートキャンプ場。「飛騨流葉休養園」内にあり、年間を通じて流葉の大自然を満喫することができます。オートキャンプサイトの他、大小のコテージ棟、バーベキュー施設もあるので、テント泊からコテージ泊まで目的に合わせた宿泊が可能。近くにある日帰り温泉施設「流葉温泉 ニュートリノ」で汗を流すのがオススメです。テントやランタン、マットなどのレンタルも可能で、白樺林に囲まれた大自然の中でのんびりとワイルドなキャンプ経験ができるので、小さい子ども連れのファミリーにも人気があります。鉄道の廃線上をマウンテンバイクで走る、アクティビティ「レールマウンテンバイクGattan Go!!」の各コースまで当キャンプ場から車で約10分～20分程度の好立地なのでキャンプの際の昼間のお楽しみメニューにするのもオススメです。

- 住所: 506-1155岐阜県飛騨市神岡町西602-8
- 電話番号: 0578-82-0916
- ウェブサイト1: http://hida-nagareha.com/
- アクセス: 〔高山方面より〕・東海北陸道飛騨清見ICより40分・高山清見道路高山ICより40分〔富山方面より〕北陸道富山ICより60分〔飛騨市内より〕JR飛騨古川駅より車で20分
- 料金: 〔入場料〕大人500円 小人300円〔設備等〕キャンプサイト:5,500円   コテージ:14,000円~

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨地鶏研究クラブ, そば処すごう, 大坪製菓, 船津醤油, 老田屋, 古田豆腐店, 花の家, ビストロ シェ・ボア
- このページを見ている人は、こんなページも見ています: 神岡朝市クラブ, 北々工房, 味噌煎餅本舗井之廣, 三寺めぐり朝市, 後藤酒店, 福全寺蕎麦, そば処すごう, 飛騨牛焼肉かをる, カノコヤ~ Kanokoya Coffee & Waffles~, 蕪水亭OHAKO
- このスポットから近い宿泊施設: ひだ流葉オートキャンプ場, 山荘志げり, ロッヂ 西山荘, 玉姫高原ロッジ, ロッジ トニマックス, 流葉山荘, 温もりの館 千台屋, 旅館 井口荘, 旅館 ナカバヤシ, 夕焼け色の宿 宗五郎

- このスポットの関連コラム: 飛騨市のキャンプ場特集!!
- ここに行くモデルコース: 元気いっぱい!自然とアクティビティ満喫の2日間"
