name,url,description
道の駅 アルプ飛騨古川,https://www.hida-kankou.jp/spot/275,"富山と飛騨高山を結ぶ国道41号沿いにある道の駅。周辺観光やイベント等のパンフレットも充実しているので、旅の情報収集にも最適の場所です。
敷地内には、農家さん直送の新鮮な野菜から地酒、飛騨牛、飛騨地鶏、工芸品まで豊富に販売している飛騨産直市そやなをはじめ、お土産屋寄合所耕飛騨古川SHOP、創業100年以上の老田屋製麺所がプロデュースしたラーメン屋老田屋製麵所飛騨古川店、飛騨の郷土料理とんちゃんやけいちゃんをお酒と共にがっつり食べることができる寄合所耕飛騨古川食堂もあります。

- 住所: 509-4254岐阜県飛騨市古川町上町1348-2
- 電話番号: 0577-74-0150
- 問合せ先: 道の駅アルプ飛騨古川
- アクセス: 飛騨古川駅から車で7分
- 営業時間: 9時~17時(4月~10月)
9時~16時(11月~3月)
- 休業日: 無休
- 備考: 駐車場あり

- おすすめコラム: 飛騨産直市そやな, 老田屋製麺所 飛騨古川店
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 道の駅 アルプ飛騨古川, 老田屋製麺所 飛騨古川店, 寄合所耕 飛騨古川食堂, 飛騨産直市そやな, めん処ほりのうえ, 大塚由美子(豆つかげ), じゅうじゅう亭, パティスリーマツキ
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 麺の清水屋, 大坪製菓, 牧成舎, 大久保製菓舗
- このスポットから近い宿泊施設: 吉城の郷 大日の宿, 八ツ三館, 蕪水亭, IORI ICHINOMACHI, IORI KAWANAKA, IORI SETOGAWA, SATOYAMA STAY TONOMACHI, 吉城の郷 馬出し橋, のとや旅館, 飛騨ともえホテル

- このスポットの関連コラム: 飛騨市のキャンプ場特集!!"
瀬戸川と白壁土蔵街,https://www.hida-kankou.jp/spot/278,"高山の奥座敷と称され、飛騨に残るもう一つの古い町並みとして知られる飛騨古川。こじんまりと趣きある町並みは散策にぴったりです。白壁土蔵やお寺の石垣を背景に、1,000匹余りの色とりどりの鯉が泳ぐ瀬戸川は、そのしっとりとした風情と、情緒豊かな景観で城下町飛騨古川の顔ともいうべく人気のメインスポットです。碁盤のような町割りや古い町家が今も残り、約500ｍ続く白壁土蔵街は四季折々に見せるその情景がとても美しい。
※鯉は、11月下旬から4月上旬まで越冬のため、増島城跡の池に引越しをしています。参考写真はこちら

- 住所: 岐阜県飛騨市古川町壱之町
- 電話番号: 0577-73-2111
- 問合せ先: 飛騨市商工観光部まちづくり観光課
- アクセス: JR高山本線飛騨古川駅から徒歩5分
- 駐車場(普通車): 飛騨市役所駐車場または飛騨古川駅裏駐車場をご利用ください。(無料)
- 備考: 浴衣や着物をレンタルして散策もできます。レンタル先:染めと呉服 大洞(TEL 0577-73-2209)、要予約、レンタル料4,320円(税込み)木曜定休

- おすすめコラム: ここだけはおさえておきたい!飛騨古川の定番観光スポット, 飛騨古川まつり会館のヒミツ!?
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 渡辺酒造店, ひだコロッケ本舗, 三寺めぐり朝市, 福全寺蕎麦, 割烹 朝日館, 飛騨牛専門店 祭, 蕪水亭OHAKO, 蒲酒造場
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 大久保製菓舗, 大塚由美子(豆つかげ), 登林酒店, 笹巻羊かん本舗 金木戸屋, 北々工房
- このスポットから近い宿泊施設: 民宿スマイル, 吉城の郷 馬出し橋, 料理旅館 初月, のとや旅館, SATOYAMA STAY TONOMACHI, 大関屋旅館, FabCafe Hida, IORI GOTO, IORI SETOGAWA, たんぼの湯

- このスポットの関連コラム: 飛騨のローカルを楽しむ10のチェックリスト, 飛騨市のキャンプ場特集!!, 「ふゆひだバスたびきっぷ」で飛騨を満喫しよう!
- ここに行くモデルコース: 王道!半日で巡る飛騨古川町並み散策, 1日中楽しもう♪王道コース!飛騨古川町並み散策, 秋の安峰山と飛騨古川満喫の旅, 呑んべいなあなたへ!飛騨古川の地酒を味わい尽くす旅, ぎふ旅コイン2,000円で飛騨古川を散策♪, 宇津江四十八滝と飛騨古川散策, 飛騨市の薬草をめぐる癒し旅, 飛騨古川の城めぐりと瀬戸川散策, 着物でまちあるき 飛騨古川秋の女子旅, 飛騨古川と池ヶ原湿原を満喫する旅"
神岡街歩きガイド,https://www.hida-kankou.jp/spot/300,"鉱山の街として栄えた神岡町には、今も当時の繁栄の香りが残っており、昭和を感じることのできるレトロタウンとして不思議な魅力を持つ街並みが広がります。そんな神岡の街を散策するのにオススメなのが、街を知り尽くしたガイドさんとともに散策する「神岡街歩きガイド」。市街地を中心に、街の所々に見られる共同水屋でひと休みしながらお散歩旅を楽しむことができる「ぶらり街歩きツアー」（2～3ｋｍ）、街歩きの途中でちょっと寄り道して町内の酒蔵や和菓子屋さんなどに立ち寄る「食べ歩きツアー」があります。いずれのツアーも所要時間は1時間30分～2時間30分程度です。
ご予約はコチラから

- 住所: 509-4234岐阜県飛騨市古川町壱之町14-5(飛騨市観光協会 事務局内)
- 電話番号: 0577-74-1192
- 問合せ先: 飛騨市観光協会 神岡街歩きガイド事務局
- アクセス: ○お車の場合〔高山方面より〕・東海北陸道飛騨清見ICより60分・高山清見道路高山ICより50分〔富山方面より〕北陸道富山ICより60分〔飛騨市内より〕JR飛騨古川駅より車で30分○公共交通機関ご利用の場合JR高山本線 JR飛騨古川駅隣接の「古川駅前」バス停より濃飛バス「神岡営業所」行き乗車(所要約45分)「西里」バス停下車徒歩5分 またはタクシーで約30分○駐車場について飛騨市神岡振興事務所駐車場をご利用ください。
- 営業時間: 8:30~17:00
- 休業日: ガイドツアーについては、ツアー立ち寄り先のお店等の営業状況によりますので、お申し込み時にご相談ください。
- 備考: ○ツアーのお申込みについてお申し込みはツアー7日前までにお願いします。○ツアーのキャンセルについて予約日の3日前までにご連絡ください。

- ガイドプラン: 神岡街めぐりコース, 花街散策コース, 江馬館・神岡城・スカイドームコース, 食べ歩きコース(オプション)
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 肉の沖村, きのえ(飛騨神岡とんちゃん), 飛よし, 八兵衛, 茶屋-maru-, もりのや, 笹巻羊かん本舗 金木戸屋, 喫茶きゃびん
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ), 登林酒店, 神岡朝市クラブ
- このスポットから近い宿泊施設: 旅館みなべ, 飛騨向月荘, 茂利旅館, わたや旅館, すみや旅館, 大岩荘, 国民宿舎 霜出荘, アルペン 流葉, 旅館 新谷荘, 旅館 ナカバヤシ

- ここに行くモデルコース: カメラを片手に“画になる街”神岡歩き"
割石温泉,https://www.hida-kankou.jp/spot/319,"昭和51年、鉱石の探査中に突然地下850メートルより温泉が噴き出した割石温泉。古くから鉱山の町として知られる神岡町ならではのきっかけで誕生した温泉です。開設以来、静かな山里にある小さな湯は泉質の良さで訪れる人々をやさしく癒し、地元のみならず遠方からのリピーターも多く、隠れた人気の日帰り温泉入浴施設です。館内は男女別浴場の他、スロープを完備した障がい者用浴室もあり、湯上りには畳敷きの大広間でゆったりと休憩ができます。※館内には自動販売機（ジュース類、牛乳、アイスクリーム）がありますが、酒類の販売や食堂の営業はありませんのでご了承ください。【泉 質】単純硫黄泉【効 能】神経痛、リュウマチ、運動器障害、不眠症、皮膚病など

- 住所: 506-1112岐阜県飛騨市神岡町割石291
- 電話番号: 0578-82-0988
- 問合せ先: 直通
- アクセス: 〔高山方面より〕・東海北陸道飛騨清見ICより60分・高山清見道路高山ICより50分〔富山方面より〕北陸道富山ICより50分〔飛騨市内より〕JR飛騨古川駅より車で40分
- 営業時間: 10時~20時※日帰り温泉施設のため宿泊設備はございません
- 休業日: 月曜日(月曜日が祝日の場合は火曜日)/12月30日、12月31日、1月1日
- 料金: 一般400円、12歳未満200円、6歳未満無料
- 駐車場(普通車): 64台
- 備考: 駐車場あり。割石温泉へは神岡町市街地(飛騨市神岡振興事務所)より約5km。路線バスあり(最寄バス停:割石温泉バス停、割石温泉口バス停)。運行ダイヤについては、濃飛バス神岡営業所(電話:0578-82-1161)へお問い合わせください。

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 居酒屋 おらんち, たからや, ビストロ シェ・ボア, 居酒屋真ちゃん, 花の家, 老田屋, 登林酒店, 千成寿司
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 大久保製菓舗, 大塚由美子(豆つかげ), 神岡朝市クラブ, なかき商店
- このスポットから近い宿泊施設: すみや旅館, 茂利旅館, わたや旅館, 旅館みなべ, 飛騨向月荘, 大岩荘, 国民宿舎 霜出荘, アルペン 流葉, 旅館 新谷荘, 旅館 ナカバヤシ"
たんぼの湯,https://www.hida-kankou.jp/spot/322,"飛騨古川の町並みを散策した後に訪れたい日帰り温泉。
明治期の開湯以来、地元の人々や観光客の疲れを癒し、近年では「子宝の湯」としても評判を呼んでいるという「たんぼの湯」。その最大の魅力は、飛騨古川駅から徒歩3分、飛騨市役所のすぐ隣という絶好のロケーションです。神経痛、リュウマチ、胃腸病、婦人病、冷え性などに効能があるという炭酸鉄泉の湯は赤い色が特徴で、白いタオルが赤茶色に染まるほど。宿泊して、宿自慢の郷土料理を味わってみるのもオススメです。
飛騨市の温泉の一覧はこちら

- 住所: 509-4232岐阜県飛騨市古川町本町2-57
- 電話番号: 0577-73-2014
- 問合せ先: 直通
- アクセス: 飛騨古川駅から徒歩3分
- 営業時間: 16時~19時
- 休業日: 月・日
- 料金: 500円
- 備考: 駐車場あり(8台)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, SAVE THE CAT HIDA シェルター, ダイニング笑円, 志摩茶屋, お食事処 匠, Bambi, 日本海の幸 香梅, 新名屋, みちくさ
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ)
- このスポットから近い宿泊施設: たんぼの湯, 料理旅館 初月, 民宿スマイル, IORI GOTO, MOTHER’S HOUSE, 吉城の郷 馬出し橋, SATOYAMA STAY TONOMACHI, 飛騨ともえホテル, 大村屋旅館, FabCafe Hida"
飛騨産直市そやな,https://www.hida-kankou.jp/spot/314,"2022年7月2日道の駅アルプ飛騨古川内に移転オープン！名物店長「トマト店長」のいる、飛騨で採れたおいしい野菜や果物、山菜などを扱う直売所です。農家さんが持ってくるその日の朝採れ野菜などを買うことができるので、新鮮なものがお得に購入することができますよ。高品質の農作物はもちろん、B級品のまとめ買いができることもあります。民芸品やお土産物の販売もあります。季節によって旬の新鮮な食材をGETしにぜひお立ち寄りください。

- 住所: 509-4254岐阜県飛騨市古川町上町1348-1(道の駅アルプ飛騨古川内)
- 電話番号: 0577-57-8998
- アクセス: 飛騨古川駅から車で7分
- 関連サイト/SNS - 1: https://www.instagram.com/hidasoyana/
- 関連サイト/SNS - 2: https://www.facebook.com/jibasan18hida
- 営業時間: 9時~17時
9時~16時 ※冬季(11月~)
- 休業日: 冬季(11月~)水曜定休
年末年始

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨産直市そやな, 道の駅 アルプ飛騨古川, 老田屋製麺所 飛騨古川店, 寄合所耕 飛騨古川食堂, めん処ほりのうえ, 大塚由美子(豆つかげ), じゅうじゅう亭, パティスリーマツキ
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, ぼっか煮 さわ, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ)
- このスポットから近い宿泊施設: 吉城の郷 大日の宿, 八ツ三館, 蕪水亭, IORI ICHINOMACHI, IORI KAWANAKA, IORI SETOGAWA, SATOYAMA STAY TONOMACHI, 吉城の郷 馬出し橋, のとや旅館, 飛騨ともえホテル

- このスポットの関連コラム: 飛騨のローカルを楽しむ10のチェックリスト, 飛騨市のキャンプ場特集!!, 飛騨市推奨特産品のご紹介!
- ここに行くモデルコース: 1泊2日秋の安峰山登山と新穂高ロープウェイの旅"
飛騨の匠文化館,https://www.hida-kankou.jp/spot/282,"木の国飛騨で育った木材を使い、飛騨の匠の技を受け継ぐ地元の大工たちによって建てられ、釘を１本も使っていないのが特徴。中庭に面する軒下には、この建物に関わった大工の紋章「雲」が施された小腕が連なります。館内では各種の継ぎ手や木組みの見本展示、パズルのように千鳥格子を組むことのできる体験コーナーもあります。また、各種体験もあります。
※ただいま体験は中止しています。（2022年11月18日現在）
・千鳥格子コースター作り　　　　（1,700円）　・森の動物モビール作り　　　　　（1,800円）・森の動物ウインドチャイム作り　（2,000円）・森の動物ピアス・イアリング作り（1,500円）※入館料は別途必要です。※千鳥格子コースターは要予約、その他も予約優先です。

- 住所: 岐阜県飛騨市古川町壱之町10-1
- 電話番号: 0577-73-3321
- アクセス: JR高山本線飛騨古川駅から徒歩5分
- 営業時間: 9:00~17:00(16:30最終入館)
※12~2月 は9:00~16:30(16時最終入館)
- 休業日: 木曜定休、年末年始
2022年度の年末年始は、
12月28日(水)から1月5日(木)まで休館します。
- 料金: 大 人(個人) 300円小 人(個人) 100円
飛騨古川まつり会館との共通入館券
大 人(個人) 800円小 人(個人) 350円

未就学児は入場不可

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 岡田屋, タスパDEシャングリラ, 飛騨牛専門店 祭, ひだコロッケ本舗, 三寺めぐり朝市, 福全寺蕎麦, 味処古川, お食事処 匠
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, 御菓子所 田の下, 古里精肉店, 老田屋, 大坪製菓, 牧成舎, 大久保製菓舗, 橋本商店, 神岡朝市クラブ
- このスポットから近い宿泊施設: FabCafe Hida, 大関屋旅館, のとや旅館, 民宿スマイル, MOTHER’S HOUSE, たんぼの湯, 吉城の郷 馬出し橋, 料理旅館 初月, IORI GOTO, SATOYAMA STAY NINOMACHI

- このスポットの関連コラム: 雨の日におすすめの体験&カフェのご紹介, 飛騨のローカルを楽しむ10のチェックリスト, 「ふゆひだバスたびきっぷ」で飛騨を満喫しよう!
- ここに行くモデルコース: ぎふ旅コイン2,000円で飛騨古川を散策♪, 仲良し女子のおしゃれスポット巡り IN 飛騨古川"
道の駅 飛騨古川いぶし,https://www.hida-kankou.jp/spot/274,"2023年11月1日～休業　（トイレはご利用いただけます）

施設の裏手にある「いぶし銀命水」が有名な道の駅。その湧水は水研究家によって、飲んでまろやか、手足すべすべと評価をされた名水で自由に汲むことができます。
ドライブの休憩にオススメです。館内で販売している、大豆を揚げた「豆つかげ」、昔ながらのシンプルな美味しさで人気の「味噌煎餅」など、飛騨を代表する名菓はお土産にもピッタリです。他にも、奥深い冬の山で働く人々や、飛騨の昔からの写真が展示してあったり飛騨の匠の技が誇る木工製品を展示販売しているなど、年間通じて人気があるスポットです。

- 住所: 509-4265岐阜県飛騨市古川町畦畑2173-1
- 電話番号: 0577-73-3936
- 問合せ先: 飛騨市役所建設課
- アクセス: 飛騨古川駅から車で15分
- 営業時間: 休業中
(トイレはご利用いただけます)
- 備考: 駐車場あり(30台)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 道の駅 飛騨古川いぶし, パティスリーマツキ, 御菓子所 田の下, じゅうじゅう亭, 橋本商店, 道の駅 アルプ飛騨古川, 老田屋製麺所 飛騨古川店, 寄合所耕 飛騨古川食堂
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, 飛騨やまさち工房, 御菓子所 田の下, 大坪製菓, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ), 橋本商店, 神岡朝市クラブ, なかき商店
- このスポットから近い宿泊施設: 蕪水亭, SATOYAMA STAY NINOMACHI, 大関屋旅館, FabCafe Hida, のとや旅館, MOTHER’S HOUSE, 八ツ三館, 吉城の郷 馬出し橋, IORI ICHINOMACHI, IORI SETOGAWA"
薬草体験施設「ひだ森のめぐみ」,https://www.hida-kankou.jp/spot/369,"飛騨古川のまちなかにある飛騨の薬草が体験できる施設「ひだの森のめぐみ」。
ここでは、常時体験できるワークショップや、薬草商品の販売、薬草の展示、薬草茶の試飲のサービスもあります。◎体験できること・ティーセレモニー（オリジナル薬草茶づくり※要予約）・薬草で七味づくり・薬草でコケ玉づくり・葛の花玉づくり・薬草入浴剤づくり・薬草香り袋づくり・機織コースターづくり体験をしなくても、ぜひ覗いてみてください。薬草に詳しいスタッフが常駐しておりますので、薬草に関するいろんなお話も聞くことができます。飛騨古川にいらっしゃったら、ぜひ足をお運びください。

- 住所: 509-4235岐阜県飛騨市古川町弐之町6-7
- 電話番号: 0577-73-3400
- ウェブサイト1: http://www.city-hida.jp/yakusou/
- アクセス: 飛騨古川駅から徒歩5分
- 営業時間: 10:00~16:00
- 休業日: 年末年始
- 備考: 飛騨市役所駐車場をご利用ください。

- ひだ森のめぐみでできる体験: 
- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 薬草体験施設「ひだ森のめぐみ」, 蕎麦正なかや, 蕪水亭OHAKO, 大久保製菓舗, 渡辺酒造店, 割烹 朝日館, FabCafe Hida, 蒲酒造場
- このページを見ている人は、こんなページも見ています: ひだコロッケ本舗, ぼっか煮 さわ, 御菓子所 田の下, 牧成舎, 大久保製菓舗, 大塚由美子(豆つかげ), なかき商店, 笹巻羊かん本舗 金木戸屋, 北々工房, ほっとする店
- このスポットから近い宿泊施設: のとや旅館, 大関屋旅館, FabCafe Hida, 吉城の郷 馬出し橋, SATOYAMA STAY TONOMACHI, 民宿スマイル, IORI SETOGAWA, 蕪水亭, 料理旅館 初月, IORI ICHINOMACHI

- このスポットの関連コラム: 雨の日におすすめの体験&カフェのご紹介, 飛騨のローカルを楽しむ10のチェックリスト
- ここに行くモデルコース: 呑んべいなあなたへ!飛騨古川の地酒を味わい尽くす旅, 飛騨市の薬草をめぐる癒し旅, 四十八滝山野草公園と飛騨古川散策, 東京から高速バスで!2泊3日奥飛騨温泉郷と飛騨古川の旅, 仲良し女子のおしゃれスポット巡り IN 飛騨古川, 関西からワイドビューで!1泊2日飛騨を満喫, 山と海の幸を両方味わう!北陸新幹線で行く飛騨古川の旅"
飛騨市森林公園キャンプ場,https://www.hida-kankou.jp/spot/505,"飛騨古川から車で10分。飛騨の自然を堪能できるスポーツ施設の中にあります。設備はシンプルですがリーズナブルな利用料金で人気のキャンプ場です。夏は木々の緑が鮮やかで、秋には紅葉の中で虫の音を楽しめます。ご予約頂ければナイターが使用できるグラウンド等もご利用頂けます。芝生広場でのピックニックなども好評です。森林公園からウォーキングコースも整備されています。キャンプの食材の仕入れには、2022年7月にオープンした道の駅アルプ飛騨古川内にある飛騨産直市そやながおすすめです。

- 住所: 509-4272岐阜県飛騨市古川町信包733-1
- 電話番号: 0577-75-2901
- ウェブサイト1: https://www.nap-camp.com/gifu/10458
- アクセス: 飛騨古川駅より車で10分
- 営業時間: 4月1日~11月20日
- 料金: 林間サイト基本料金:3,520円/泊(4人まで)

- 周辺でできる体験: 江馬氏が見守る高原郷~本城から下館まで~, 籾糠山のてっぺんから愛を叫ぼう, 飛騨古川観光ガイド, 人力車, 神岡街めぐりコース, 飛騨里山サイクリング:スタンダード, 天生県立自然公園ガイドウォーク, 飛騨クアオルト健康ウォーキング, 広葉樹フォトブロック作り, カッティングボード作り
- 周辺にある飲食店・おみやげ店: 寄合所耕 飛騨古川SHOP, 前田本店, 飛騨こうじ 織勢, 飛騨牛焼肉かをる, 北々工房, 喫茶あん, 居酒屋 源, 味噌煎餅本舗井之廣, ダイニング笑円, 岡田屋
- このページを見ている人は、こんなページも見ています: 御菓子所 田の下, 古里精肉店, 橋本商店, 登林酒店, ほっとする店, 味噌煎餅本舗井之廣, 三寺めぐり朝市, 肉の沖村, 居酒屋 源, 西洋膳処まえだ
- このスポットから近い宿泊施設: 飛騨市森林公園キャンプ場, 飛騨古川ユースホステル, 旬菜の宿 季古里, SATOYAMA STAY NINOMACHI, MOTHER’S HOUSE, 飛騨古川民泊 Vegi garden, FabCafe Hida, たんぼの湯, 大関屋旅館, のとや旅館

- このスポットの関連コラム: 飛騨市のキャンプ場特集!!"
